#Averaged int pulse and pulse max data for run 978.
#Total number of pulse events is 1103837.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  83821.8  1075.65  20427
0  1  30277.4  360.816  22253
0  2  81518.7  669.247  22655
0  3  146639  953.962  22286
0  4  742.919  139.368  5921
0  5  1263.42  178.628  14276
0  6  1069.44  131.15  11376
0  7  1390.82  174.154  13768
0  8  1.22207e+06  71645  22722
0  9  66495.9  801.963  21228
0  10  116386  1045.93  18553
0  11  30648  604.222  16355
1  0  20531  546.686  17313
1  1  111984  1385.47  18122
1  2  21468.2  483.883  18128
1  3  18096.3  568.89  18390
1  4  2454.03  352.893  14647
1  5  971.2  128.627  7902
1  6  1488.53  1391.01  15042
1  7  1436.06  197.65  12433
1  8  6007.74  498.54  16719
1  9  81187.8  989.589  16035
1  10  27589.2  653.495  13665
1  11  30898.7  794.404  11227
2  0  3808.57  215.449  13317
2  1  7649.64  542.922  14180
2  2  3665.52  485.731  14651
2  3  2376.32  12424.8  14348
2  4  -2506.67  199.53  10634
2  5  2587.83  324.155  12814
2  6  1400.06  186.415  10816
2  7  1594.72  194.795  10639
2  8  437033  5651.12  13227
2  9  8573.52  246.215  11045
2  10  19381  796.367  10443
2  11  5155.34  694.882  9273
3  0  144108  1052.08  11210
3  1  54493.2  696.331  11420
3  2  37240.5  1127.21  12433
3  3  83314.5  922.71  11770
3  4  7521.25  256.563  9699
3  5  5236.45  208.716  8554
3  6  2332.23  328.965  9967
3  7  1769.9  226.762  9095
3  8  3589.65  260.651  9849
3  9  3143.39  292.971  9521
3  10  4040.2  339.002  8207
3  11  50756.4  1397.94  7651
4  0  -15991.6  276.17  9037
4  1  45791.9  1178.21  9817
4  2  220141  1179.67  9621
4  3  29054.1  819.807  9925
4  4  1183.47  158.894  6276
4  5  3096.6  355.942  8612
4  6  1308.68  168.001  6026
4  7  1351.99  177.966  5469
4  8  7726.68  791.745  8528
4  9  2087.47  323.415  7387
4  10  38258.3  677.276  6933
4  11  847.075  117.177  5010
5  0  223085  2697.08  7832
5  1  1519.79  205.79  7162
5  2  53372.2  895.939  8327
5  3  4915.05  392.162  7939
5  4  -2105.53  245.222  6522
5  5  2976.6  448.156  7462
5  6  69276.4  650.187  6892
5  7  26042.9  234.302  5300
5  8  5900.93  813.934  6983
5  9  56751  1003.04  6256
5  10  21547.8  2510.33  5768
5  11  1868.14  229.372  5174
6  0  336900  2784.46  6704
6  1  997.437  111.852  5465
6  2  4804.78  771.271  6911
6  3  3686.66  340.032  6782
6  4  2889.33  399.555  6049
6  5  45835.6  494.408  5172
6  6  2204.09  298.714  5368
6  7  2071.52  309.779  5216
6  8  8206.64  1114.64  5592
6  9  3399.38  425.275  5033
6  10  45892.6  903.22  4633
6  11  2416.67  333.821  4390
7  0  7156.24  472.905  5465
7  1  9802.17  1062.89  5663
7  2  20281.2  758.02  5962
7  3  2514.67  306.534  5554
7  4  1284.81  171.638  4049
7  5  2079.16  300.552  4527
7  6  2489.94  254.408  4326
7  7  1062.04  142.727  2556
7  8  8954.77  409.568  4607
7  9  46378.4  1090.66  4356
7  10  8440.08  586.651  3876
7  11  2379.95  359.513  3596
8  0  25199.7  307.481  4267
8  1  -48514.6  520.486  4778
8  2  77916.6  2079.52  5005
8  3  203651  1353.83  4646
8  4  1325.91  180.969  3253
8  5  3361.04  485.63  4103
8  6  1509.93  202.615  3198
8  7  1139.02  153.494  2741
8  8  9233.51  971.706  4126
8  9  1346.24  468.855  3734
8  10  2546.39  490.819  3403
8  11  42664  603.36  3271
9  0  12616.3  536.871  3576
9  1  73052.2  1421.07  4172
9  2  254236  2952.32  4329
9  3  1.01589e+07  115095  4081
9  4  2141.84  270.382  3038
9  5  4963.18  672.176  3437
9  6  3488.72  472.316  2973
9  7  45888.3  1372.92  2816
9  8  4397.62  540.179  3488
9  9  10340.1  945.09  3222
9  10  6810.33  699.39  3058
9  11  119605  2173.66  2993
10  0  37.3567  105.073  2735
10  1  359639  3264.95  3611
10  2  15590.1  1208.22  3622
10  3  109977  3504.03  3501
10  4  1394.38  268.557  2606
10  5  4241.65  678.953  2921
10  6  -1818.42  225.129  2301
10  7  1410.49  195.219  2049
10  8  -1.26734e+06  850.983  3078
10  9  4614.93  938.518  2829
10  10  4074.45  611.075  3314
10  11  8766.46  802.698  2584
11  0  104817  5076.82  3431
11  1  31695.8  643.509  2649
11  2  7104.04  697.278  2972
11  3  46002.1  1174.24  2760
11  4  -23050.2  282.393  2277
11  5  -21811.2  469.872  2362
11  6  1700.61  214.744  1974
11  7  1682.05  212.734  1131
11  8  99648.6  985.668  2378
11  9  1184.64  712.498  2403
11  10  42687.1  1032.16  2191
11  11  1530.97  278.224  2134
