Module	 HV
1	-1347.64
2	-1237
3	-1202.11
4	-1163.46
5	-1011.8
6	-807.544
7	-859.853
8	-893.588
9	-1196.25
10	-1136.92
11	-1163.03
12	-1248.28
13	-1241.08
14	-1208.93
15	-1202.46
16	-1171.39
17	-879.709
18	-779.976
19	-915.919
20	-1046.85
21	-1138.32
22	-1207.92
23	-1291.92
24	-1343.9
25	-1400.82
26	-1337.19
27	-1220.12
28	-1170.59
29	-930.927
30	-714.734
31	-978.497
32	-1023.96
33	-1218.97
34	-1139.95
35	-1312.22
36	-1131.19
37	-1242.16
38	-1209.63
39	-1145.36
40	-1212.96
41	-748.88
42	-750.78
43	-776.63
44	-811.928
45	-1183.1
46	-1189.42
47	-1246
48	-1425.39
49	-1229.09
50	-1210.67
51	-1251.73
52	-1188.91
53	-752.042
54	-826.69
55	-780.426
56	-837.502
57	-1197.07
58	-1224.82
59	-1250.04
60	-1265.08
61	-1226.45
62	-1167.19
63	-1202
64	-1171.45
65	-866.984
66	-789.385
67	-755.451
68	-800.199
69	-1181.3
70	-1230.65
71	-1257.39
72	-1157.45
73	-1384.04
74	-1295.38
75	-1265.98
76	-1241.45
77	-1021.14
78	-1170.11
79	-786.966
80	-809.656
81	-1181.01
82	-1209.44
83	-1184.91
84	-1350.55
85	-1174.11
86	-1180
87	-1204.33
88	-1152.66
89	-793.382
90	-753.529
91	-643.678
92	-738.399
93	-1191.95
94	-1213.48
95	-1249.59
96	-1357.35
97	-1235.39
98	-1170.21
99	-1231.83
100	-1168.84
101	-649.89
102	-715.835
103	-943.137
104	-787.849
105	-1158.43
106	-1191.15
107	-1234.17
108	-1203.53
109	-1327.56
110	-1208.28
111	-1180.75
112	-1152.94
113	-739.597
114	-698.64
115	-702.075
116	-740.599
117	-1152.74
118	-1261.27
119	-1251.23
120	-1224.71
121	-1182.9
122	-1201.86
123	-1187.3
124	-1196.81
125	-681.951
126	-764.549
127	-682.168
128	-591.283
129	-1168.52
130	-1170.11
131	-1301.66
132	-1309.57
133	-1224.03
134	-1125.38
135	-1195.58
136	-1237.91
137	-808.53
138	-845.441
139	-745.58
140	-665.439
141	-1208.09
142	-1139.54
143	-1221.48
144	-1208.1
145	-1361.83
146	-1221.53
147	-1255.74
148	-1277.3
149	-1219.01
150	-1025.67
151	-1029.5
152	-929.758
153	-1206.54
154	-1269.8
155	-1260.17
156	-1247.23
157	-1237.58
158	-1202.59
159	-1231.48
160	-1193.09
161	-807.252
162	-999.777
163	-811.574
164	-907.913
165	-1233.38
166	-1219.25
167	-1282.98
168	-1288.41
169	-1315.6
170	-1197.58
171	-1201.02
172	-1225.89
173	-901.835
174	-779.251
175	-762.128
176	-777.696
177	-1238.07
178	-1442.63
179	-1234.91
180	-1233.38
181	-1221.67
182	-1247.38
183	-1168.02
184	-1186.55
185	-821.576
186	-855.998
187	-818.477
188	-832.703
189	-1274.92
190	-1254.93
191	-1279.24
192	-1174.66
193	-1238.77
194	-1228.96
195	-1198.07
196	-1213.66
197	-950.187
198	-620.775
199	-794.005
200	-1087.75
201	-1218.62
202	-1239.39
203	-1260.64
204	-1357.28
205	-1279.84
206	-1179.12
207	-1169.61
208	-1245.59
209	-747.582
210	-726.407
211	-702.81
212	-923.115
213	-1199.14
214	-1203.09
215	-1199.18
216	-1247.25
217	-1241.53
218	-1338.65
219	-1169.98
220	-1214.74
221	-721.511
222	-794.72
223	-683.587
224	-809.624
225	-1173.11
226	-1202.29
227	-1260.16
228	-1262.07
229	-1205.89
230	-1160.24
231	-1170.68
232	-1195.86
233	-870.529
234	-793.795
235	-828.346
236	-1021.01
237	-1235.2
238	-1245.96
239	-1241.68
240	-1250.97
241	-1340.87
242	-1229.91
243	-1502.4
244	-1260.17
245	-862.597
246	-718.863
247	-847.698
248	-907.649
249	-1204.54
250	-1248.29
251	-1288.64
252	-1253.9
253	-1293.55
254	-1221.15
255	-1144.11
256	-1141.12
257	-798.979
258	-711.968
259	-716.672
260	-815.52
261	-1216.02
262	-1218.29
263	-1242.16
264	-1207.99
265	-1295.34
266	-1189.06
267	-1171.18
268	-1159.59
269	-732.859
270	-677.989
271	-821.408
272	-1010.8
273	-1173.77
274	-1183.23
275	-1295.46
276	-1227.55
277	-1216.58
278	-1257.87
279	-1173.69
280	-1115.97
281	-840.259
282	-724.027
283	-735.243
284	-1053.54
285	-1191.22
286	-1232.79
287	-0
288	-0
