#Target HV settings for run 12099 from hcal_gain_match.C on Thu Nov 18 22:21:11 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
0 0 -1469.08 -1469.08 -1469.55 Good
0 1 -1430.02 -1430.02 -1440.86 Good
0 2 -1408.5 -1408.5 -1415.44 Good
0 3 -1420.81 -1420.81 -1417.09 Good
0 4 -2211 -2211 -2198.26 Good
0 5 -1608.97 -1608.97 -1612.39 Good
0 6 -1476.36 -1476.36 -1510.63 Good
0 7 -1457.6 -1457.6 -1505.2 Good
0 8 -1384.07 -1384.07 -1392.72 Good
0 9 -1366.92 -1366.92 -1375.82 Good
0 10 -1330.79 -1330.79 -1342 Good
0 11 -1394.51 -1394.51 -1402.37 Good
1 0 -1415.83 -1415.83 -1412.43 Good
1 1 -1367.19 -1367.19 -1375.54 Good
1 2 -1409.94 -1409.94 -1411.11 Good
1 3 -1356.96 -1356.96 -1363.17 Good
1 4 -1669.74 -1669.74 -1696.39 Good
1 5 -1465.2 -1465.2 -1482.82 Narrow
1 6 -1952.88 -1952.88 -1977.69 Good
1 7 -5635.02 -5635.02 -4688.52 Good
1 8 -1845.16 -1845.16 -1752.73 Good
1 9 -1428.69 -1428.69 -1432.56 Good
1 10 -1535.57 -1535.57 -1540.04 Good
1 11 -1555.74 -1555.74 -1556.59 Good
2 0 -1402.46 -1402.46 -1404.51 Good
2 1 -1566.51 -1566.51 -1568.53 Good
2 2 -1448.53 -1448.53 -1451.19 Good
2 3 -1361.98 -1361.98 -1367.19 Good
2 4 -1917.96 -1917.96 -1920.94 Good
2 5 -1453.04 -1453.04 -1485.88 Good
2 6 -5115.49 -5115.49 -4321.16 Narrow
2 7 -2568.08 -2500 -2500 HV_MAX
2 8 -1321.83 -1321.83 -1342.22 Good
2 9 -1370.68 -1370.68 -1379.95 Good
2 10 -1509.89 -1509.89 -1516.28 Good
2 11 -1323.93 -1323.93 -1339.81 Good
3 0 -1429.76 -1429.76 -1430.94 Good
3 1 -1378.6 -1378.6 -1386.4 Good
3 2 -1295.58 -1295.58 -1312.26 Good
3 3 -1435.15 -1435.15 -1437.99 Good
3 4 -1337.86 -1337.86 -1379.09 Good
3 5 -1337.62 -1337.62 -1369.42 Good
3 6 -1398.89 -1398.89 -1417.88 Good
3 7 -1575.39 -1575.39 -1592.64 Good
3 8 -1399.91 -1399.91 -1399.22 Good
3 9 -1359.86 -1359.86 -1367.52 Good
3 10 -1374.83 -1374.83 -1384.33 Good
3 11 -1375.06 -1375.06 -1386.18 Good
4 0 -1411.07 -1411.07 -1414.62 Good
4 1 -1394.5 -1394.5 -1404.62 Good
4 2 -1490.13 -1490.13 -1491.71 Good
4 3 -1435.37 -1435.37 -1436.24 Good
4 4 -1233.49 -1233.49 -1278.2 Good
4 5 -1242.85 -1242.85 -1309.57 Good
4 6 -1503.61 -1503.61 -1535.03 Good
4 7 -1557.32 -1557.32 -1582.19 Good
4 8 -1389.24 -1389.24 -1395.18 Good
4 9 -1392.21 -1392.21 -1396.94 Good
4 10 -1300.56 -1300.56 -1322.63 Good
4 11 -1456.14 -1456.14 -1461.05 Good
5 0 -1405.94 -1405.94 -1411.76 Good
5 1 -1340.69 -1340.69 -1353.55 Good
5 2 -1445.43 -1445.43 -1447.71 Good
5 3 -1366.3 -1366.3 -1375.61 Good
5 4 -1528.22 -1528.22 -1572.98 Good
5 5 -1377.61 -1377.61 -1405.65 Good
5 6 -1389.29 -1389.29 -1411.42 Good
5 7 -1546.48 -1546.48 -1576.07 Good
5 8 -1371.23 -1371.23 -1377.06 Good
5 9 -1386.7 -1386.7 -1400.24 Good
5 10 -1444.66 -1444.66 -1452.12 Good
5 11 -1320.55 -1320.55 -1336.36 Good
6 0 -1696.09 -1696.09 -1697.22 Good
6 1 -1634.1 -1634.1 -1624.66 Good
6 2 -1574.94 -1574.94 -1576.28 Good
6 3 -1529.92 -1529.92 -1531.39 Good
6 4 -2493.44 -2493.44 -2394.67 Good
6 5 -3431.35 -2500 -3396.12 HV_MAX
6 6 -1474.55 -1474.55 -1492.01 Good
6 7 -1331.51 -1331.51 -1411.71 Good
6 8 -1312.45 -1312.45 -1324.41 Good
6 9 -1380.94 -1380.94 -1383.02 Good
6 10 -1298.5 -1298.5 -1317.53 Good
6 11 -1227.13 -1227.13 -1286.16 Good
7 0 -1337.36 -1337.36 -1346.19 Good
7 1 -1361.79 -1361.79 -1367.81 Good
7 2 -1400.47 -1400.47 -1405.46 Good
7 3 -1382.98 -1382.98 -1384.79 Good
7 4 -1333.07 -1333.07 -1372.02 Good
7 5 -1293.06 -1293.06 -1326.68 Good
7 6 -1172 -1172 -1209.39 Good
7 7 -1302.43 -1302.43 -1361.42 Good
7 8 -1397.03 -1397.03 -1396.52 Good
7 9 -1465.38 -1465.38 -1454.69 Good
7 10 -1392.64 -1392.64 -1398.9 Good
7 11 -1403.8 -1403.8 -1430.85 Good
8 0 -1405.28 -1405.28 -1412.52 Good
8 1 -1374.12 -1374.12 -1375.43 Good
8 2 -1454.55 -1454.55 -1457.44 Good
