#Target HV settings for run 12088 from hcal_gain_match.C on Thu Nov 18 20:35:40 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
0 0 -1471.01 -1471.01 -1472.51 Good
0 1 -1453.34 -1453.34 -1465.43 Good
0 2 -1425.57 -1425.57 -1435.9 Good
0 3 -1414.56 -1414.56 -1412.53 Good
0 4 -2199.47 -2199.47 -2201.12 Good
0 5 -1619.61 -1619.61 -1628.21 Good
0 6 -1549.04 -1549.04 -1587.71 Good
0 7 -1557.87 -1557.87 -1612.67 Good
0 8 -1402.25 -1402.25 -1411.86 Good
0 9 -1383.89 -1383.89 -1391.8 Good
0 10 -1352.52 -1352.52 -1363.16 Good
0 11 -1410.4 -1410.4 -1418.33 Good
1 0 -1409.92 -1409.92 -1407.79 Good
1 1 -1386.57 -1386.57 -1397.84 Good
1 2 -1412.42 -1412.42 -1413.76 Good
1 3 -1369.71 -1369.71 -1376.15 Good
1 4 -1713.45 -1713.45 -1731.18 Good
1 5 -1499.11 -1499.11 -1514.93 Good
1 6 -2003.75 -2003.75 -2031.22 Good
1 7 -4164.65 -4164.65 -3671.62 Good
1 8 -1656.71 -1656.71 -1564.25 Good
1 9 -1432.65 -1432.65 -1432.35 Good
1 10 -1543.97 -1543.97 -1548.34 Good
1 11 -1558.54 -1558.54 -1561.45 Good
2 0 -1404.15 -1404.15 -1404 Good
2 1 -1570.22 -1570.22 -1571.69 Good
2 2 -1454.16 -1454.16 -1457.19 Good
2 3 -1374.52 -1374.52 -1381.7 Good
2 4 -1908.93 -1908.93 -1895.58 Good
2 5 -1522.36 -1522.36 -1560.86 Good
2 6 -3666.46 -3666.46 -3119.12 Narrow
2 7 -2465.89 -2465.89 -2410.95 Good
2 8 -1364.96 -1364.96 -1388.52 Good
2 9 -1389.98 -1389.98 -1400.24 Good
2 10 -1525.09 -1525.09 -1529.87 Good
2 11 -1355.24 -1355.24 -1371.08 Good
3 0 -1431.57 -1431.57 -1432.31 Good
3 1 -1393.58 -1393.58 -1400.81 Good
3 2 -1329.97 -1329.97 -1347.93 Good
3 3 -1440.27 -1440.27 -1442.8 Good
3 4 -1421.1 -1421.1 -1464.82 Good
3 5 -1407.02 -1407.02 -1445.49 Good
3 6 -1444.26 -1444.26 -1469.81 Good
3 7 -1616.79 -1616.79 -1640.05 Good
3 8 -1398.8 -1398.8 -1398.51 Good
3 9 -1376 -1376 -1384.68 Good
3 10 -1393.58 -1393.58 -1402.8 Good
3 11 -1396.08 -1396.08 -1406.08 Good
4 0 -1418.27 -1418.27 -1421.98 Good
4 1 -1412.93 -1412.93 -1420.83 Good
4 2 -1495.23 -1495.23 -1498.49 Good
4 3 -1436.4 -1436.4 -1436.51 Good
4 4 -1320.63 -1320.63 -1363.7 Good
4 5 -1381.47 -1381.47 -1456.59 Good
4 6 -1564.84 -1564.84 -1595.1 Good
4 7 -1611.2 -1611.2 -1641.4 Good
4 8 -1401.51 -1401.51 -1407.9 Good
4 9 -1401.76 -1401.76 -1406.79 Good
4 10 -1345.49 -1345.49 -1368.76 Good
4 11 -1465.55 -1465.55 -1469.85 Good
5 0 -1416.85 -1416.85 -1421.81 Good
5 1 -1365.27 -1365.27 -1377.01 Good
5 2 -1448.52 -1448.52 -1449.16 Good
5 3 -1386.2 -1386.2 -1396.89 Good
5 4 -1620.35 -1620.35 -1670.4 Good
