Module	 HV
1	-1469.08
2	-1430.02
3	-1408.5
4	-1420.81
5	-2211
6	-1608.97
7	-1476.36
8	-1457.6
9	-1384.07
10	-1366.92
11	-1330.79
12	-1394.51
13	-1415.83
14	-1367.19
15	-1409.94
16	-1356.96
17	-1669.74
18	-1465.2
19	-1952.88
20	-5635.02
21	-1845.16
22	-1428.69
23	-1535.57
24	-1555.74
25	-1402.46
26	-1566.51
27	-1448.53
28	-1361.98
29	-1917.96
30	-1453.04
31	-5115.49
32	-2500
33	-1321.83
34	-1370.68
35	-1509.89
36	-1323.93
37	-1429.76
38	-1378.6
39	-1295.58
40	-1435.15
41	-1337.86
42	-1337.62
43	-1398.89
44	-1575.39
45	-1399.91
46	-1359.86
47	-1374.83
48	-1375.06
49	-1411.07
50	-1394.5
51	-1490.13
52	-1435.37
53	-1233.49
54	-1242.85
55	-1503.61
56	-1557.32
57	-1389.24
58	-1392.21
59	-1300.56
60	-1456.14
61	-1405.94
62	-1340.69
63	-1445.43
64	-1366.3
65	-1528.22
66	-1377.61
67	-1389.29
68	-1546.48
69	-1371.23
70	-1386.7
71	-1444.66
72	-1320.55
73	-1696.09
74	-1634.1
75	-1574.94
76	-1529.92
77	-2493.44
78	-2500
79	-1474.55
80	-1331.51
81	-1312.45
82	-1380.94
83	-1298.5
84	-1227.13
85	-1337.36
86	-1361.79
87	-1400.47
88	-1382.98
89	-1333.07
90	-1293.06
91	-1172
92	-1302.43
93	-1397.03
94	-1465.38
95	-1392.64
96	-1403.8
97	-1405.28
98	-1374.12
99	-1454.55
100	-1342.05
101	-1645.54
102	-1118.01
103	-3540.84
104	-1668.64
105	-1314.2
106	-1325.5
107	-1405.17
108	-1317.65
109	-1682.17
110	-1403.43
111	-1370.48
112	-1389.64
113	-1388.6
114	-1274.66
115	-1350.05
116	-1146.56
117	-1322.99
118	-1351.67
119	-1324.66
120	-1373.08
121	-1347.63
122	-1362.41
123	-1391.5
124	-1408.86
125	-1205.2
126	-1324.68
127	-1367.36
128	-1143.53
129	-1323.93
130	-1313.93
131	-1455.73
132	-1434.36
133	-1365.92
134	-1299.1
135	-1382.56
136	-1424.49
137	-1399.22
138	-1391.48
139	-1480.68
140	-1317.28
141	-1386.82
142	-1380.9
143	-1375.05
144	-1364.94
145	-1589.09
146	-1502.78
147	-1450.94
148	-2197.04
149	-2500
150	-2164.95
151	-1761.87
152	-1511.88
153	-1374.35
154	-1417.87
155	-1399.35
156	-1378.51
157	-1406.92
158	-1407.67
159	-1460.84
160	-1321.71
161	-1346.09
162	-1685.8
163	-1331
164	-1449.56
165	-1380.06
166	-1376.3
167	-1393.35
168	-1423.86
169	-1472.63
170	-1399.89
171	-1377.39
172	-1423.57
173	-1598.32
174	-1201.06
175	-1367.98
176	-1479.96
177	-1381.48
178	-1534.35
179	-1348.65
180	-1402.12
181	-1351.24
182	-1365.77
183	-1341.24
184	-1407.74
185	-1363.56
186	-1531.09
187	-1310.44
188	-1332.3
189	-1434.2
190	-1425.73
191	-1375.68
192	-1332.01
193	-1363.24
194	-1445.95
195	-1407.6
196	-1394.14
197	-1722.2
198	-1415.88
199	-1823
200	-1746.08
201	-1302.35
202	-1340.48
203	-1342.84
204	-1588.69
205	-1384.02
206	-1400.98
207	-1380.35
208	-1496.18
209	-1293.67
210	-1341.35
211	-1252.31
212	-1642.19
213	-1316.13
214	-1382.76
215	-1349.52
216	-1391.99
217	-1344.94
218	-1632.83
219	-1347.95
220	-1365.28
221	-1416.58
222	-1375.28
223	-1164.02
224	-1407.59
225	-1249.09
226	-1350.39
227	-1355.69
228	-1417.06
229	-1342.62
230	-1340.31
231	-1394.26
232	-1373.59
233	-2274.51
234	-1517.46
235	-1443.12
236	-1597.84
237	-1391.34
238	-1394.63
239	-1410.84
240	-1438.53
241	-1451.71
242	-1415.25
243	-1647.11
244	-1450.97
245	-1503.86
246	-1191
247	-1602.84
248	-1627.21
249	-1355.63
250	-1322.7
251	-1327.31
252	-1419.55
253	-1501.43
254	-1322.16
255	-1318.99
256	-1345.59
257	-1426.67
258	-1277.19
259	-1225.6
260	-1295.35
261	-1346.06
262	-1248.14
263	-1317.06
264	-1193.72
265	-1527.12
266	-1358.53
267	-1352.42
268	-1332.16
269	-1271.29
270	-1196.69
271	-1664.78
272	-1569.37
273	-1328.86
274	-1311.95
275	-1395.82
276	-1322.82
277	-1313.35
278	-1455.67
279	-1388.97
280	-1367.14
281	-1453.8
282	-1173.63
283	-1627.61
284	-2072.1
285	-1398.81
286	-1380.35
287	-1377.35
288	-1430.66
