#Integrated pulse data for run 989.
#Total number of integrated events is 916171.
#Row  Column  pmtIntValue  EvTotal
0  0  69.5554  2624
0  1  516.138  17115
0  2  462.55  17684
0  3  802.829  19326
0  4  792.826  3160
0  5  956.802  11303
0  6  786.405  7505
0  7  984.656  10210
0  8  1212.32  20437
0  9  860.896  17945
0  10  654.657  14359
0  11  810.654  12480
1  0  901.593  16293
1  1  1095.2  17081
1  2  650.581  15951
1  3  984.383  17341
1  4  1672.21  14787
1  5  745.366  5432
1  6  1930.29  14687
1  7  1067.55  10618
1  8  948.4  15131
1  9  844.549  12882
1  10  704.074  10709
1  11  550.887  7796
2  0  438.228  10199
2  1  939.447  13543
2  2  1011.68  14221
2  3  585.719  13153
2  4  1044.88  9926
2  5  1646.1  12502
2  6  998.207  9608
2  7  982.46  8474
2  8  852.321  11611
2  9  426.463  5863
2  10  1210.02  9031
2  11  1277.77  7660
3  0  1015.59  10391
3  1  621.233  9895
3  2  1139.13  11573
3  3  830.88  11013
3  4  1054.49  8012
3  5  1187.14  7720
3  6  1507.66  9398
3  7  1099.86  7102
3  8  485.349  7509
3  9  533.809  7631
3  10  652.08  6335
3  11  1008.52  6035
4  0  619.866  8054
4  1  1078.02  8728
4  2  609.28  8809
4  3  729.687  9012
4  4  793.394  4848
4  5  1589.08  8285
4  6  963.787  4652
4  7  900.552  3722
4  8  1439.56  7840
4  9  565.114  5830
4  10  1099.24  5666
4  11  303.89  2256
5  0  604.841  6889
5  1  370.376  5982
5  2  1256.24  7974
5  3  585.798  7130
5  4  1148.62  5495
5  5  1992.97  7126
5  6  1826.89  6430
5  7  707.643  3655
5  8  1536.27  6386
5  9  794.048  5268
5  10  1335.14  4854
5  11  439.365  3517
6  0  1075.89  6012
6  1  178.12  705
6  2  1490.21  6641
6  3  719.906  6216
6  4  1888.31  5710
6  5  1054.19  4548
6  6  1274.29  4226
6  7  1306.1  3443
6  8  2369.76  5471
6  9  839.96  4236
6  10  1118.05  4126
6  11  689.939  3375
7  0  900.458  4905
7  1  1960.19  5451
7  2  889.991  5201
7  3  653.848  5120
7  4  874.513  3359
7  5  1351.47  4162
7  6  1186.22  3785
7  7  761.779  1719
7  8  842.529  4076
7  9  1152.45  3743
7  10  805.365  3190
7  11  700.54  2823
8  0  348.414  3162
8  1  870.775  4159
8  2  1840.32  4863
8  3  643.185  4137
8  4  909.808  2725
8  5  2160.45  3692
8  6  867.422  2395
8  7  791.616  2090
8  8  1159.17  3502
8  9  559.42  2748
8  10  890.928  2755
8  11  688.937  2448
9  0  462.319  2731
9  1  1134.55  3673
9  2  2218.96  3994
9  3  1959.7  3837
9  4  1391.66  2693
9  5  3172.3  3147
9  6  2271.19  2822
9  7  1077.67  1837
9  8  1097.65  2816
9  9  1425.38  2719
9  10  1306.7  2385
9  11  2082.16  2409
10  0  256.952  1580
10  1  1476.61  3064
10  2  1598.47  3256
10  3  1532.31  3187
10  4  1299.65  2218
10  5  2903.27  2385
10  6  988.141  1525
10  7  795.72  1026
10  8  1831.33  2546
10  9  1672.81  2401
10  10  956.349  2025
10  11  1673.89  2033
11  0  818.028  2438
11  1  386.144  2125
11  2  767.416  2446
11  3  750.901  2417
11  4  1360.89  1786
11  5  2114.79  2118
11  6  1038.01  1555
11  7  1227.61  755
11  8  1248.19  2050
11  9  1338.14  1936
11  10  2173.17  2111
11  11  608.508  1537
