Integrated pulse data for run 989.
Total number of integrated events is 13384.
Row : Column : pmtIntValue : EvTotal
0 : 0 : 225.089 : 5268
0 : 1 : 208.186 : 148
0 : 2 : 207.639 : 121
0 : 3 : 236.669 : 284
0 : 4 : 534.427 : 1
0 : 5 : 467.552 : 2
0 : 6 : -1 : 0
0 : 7 : 139.213 : 1
0 : 8 : 246.896 : 130
0 : 9 : 258.917 : 219
0 : 10 : 212.162 : 81
0 : 11 : 312.348 : 61
1 : 0 : 187.137 : 128
1 : 1 : 229.28 : 228
1 : 2 : 241.086 : 73
1 : 3 : 222.04 : 120
1 : 4 : 257.374 : 4
1 : 5 : 532.754 : 1
1 : 6 : 331.188 : 8
1 : 7 : 181.098 : 3
1 : 8 : 236.097 : 183
1 : 9 : 216.091 : 53
1 : 10 : 226.04 : 60
1 : 11 : 220.274 : 44
2 : 0 : 203.887 : 120
2 : 1 : 232.936 : 141
2 : 2 : 196.281 : 162
2 : 3 : 227.79 : 92
2 : 4 : 518.466 : 4
2 : 5 : 202.386 : 5
2 : 6 : 0 : 1
2 : 7 : 56.5481 : 2
2 : 8 : 221.764 : 81
2 : 9 : 215.013 : 144
2 : 10 : 248.358 : 252
2 : 11 : 213.435 : 129
3 : 0 : 246.969 : 123
3 : 1 : 224.92 : 55
3 : 2 : 212.707 : 90
3 : 3 : 161.025 : 19
3 : 4 : 573.969 : 2
3 : 5 : 249.25 : 5
3 : 6 : 492.823 : 2
3 : 7 : 246.177 : 3
3 : 8 : 213.997 : 13
3 : 9 : 198.81 : 152
3 : 10 : 212.004 : 35
3 : 11 : 194.436 : 70
4 : 0 : 191.967 : 56
4 : 1 : 241.13 : 72
4 : 2 : 224.266 : 81
4 : 3 : 201.49 : 51
4 : 4 : 833.595 : 1
4 : 5 : 378.451 : 5
4 : 6 : -1 : 0
4 : 7 : 245.034 : 1
4 : 8 : 211.115 : 160
4 : 9 : 208.55 : 39
4 : 10 : 205.844 : 53
4 : 11 : 230.545 : 19
5 : 0 : 203.874 : 154
5 : 1 : 206.412 : 47
5 : 2 : 202.564 : 214
5 : 3 : 230.284 : 93
5 : 4 : 1666.42 : 1
5 : 5 : 232.397 : 4
5 : 6 : 433.288 : 5
5 : 7 : 313.892 : 5
5 : 8 : 220.826 : 149
5 : 9 : 208.483 : 125
5 : 10 : 185.677 : 48
5 : 11 : 228.343 : 61
6 : 0 : 210.203 : 64
6 : 1 : 203.468 : 24
6 : 2 : 211.418 : 154
6 : 3 : 287.727 : 52
6 : 4 : 649.506 : 4
6 : 5 : 123.426 : 2
6 : 6 : 242.869 : 2
6 : 7 : 937.421 : 1
6 : 8 : 241.191 : 208
6 : 9 : 232.104 : 33
6 : 10 : 242.285 : 133
6 : 11 : 187.633 : 62
7 : 0 : 217.38 : 47
7 : 1 : 241.832 : 271
7 : 2 : 237.879 : 59
7 : 3 : 243.492 : 91
7 : 4 : 426.365 : 2
7 : 5 : 319.976 : 1
7 : 6 : 500.904 : 1
7 : 7 : -1 : 0
7 : 8 : 209.061 : 44
7 : 9 : 199.821 : 54
7 : 10 : 219.762 : 32
7 : 11 : 226.474 : 33
8 : 0 : 267.209 : 90
8 : 1 : 369.432 : 63
8 : 2 : 235.483 : 264
8 : 3 : 232.979 : 39
8 : 4 : 236.912 : 2
8 : 5 : 513.095 : 5
8 : 6 : 226.285 : 1
8 : 7 : -1 : 0
8 : 8 : 209.967 : 49
8 : 9 : 235.738 : 31
8 : 10 : 238.607 : 51
8 : 11 : 225.569 : 28
9 : 0 : 217.064 : 18
9 : 1 : 292.344 : 146
9 : 2 : 246.677 : 150
9 : 3 : 276.452 : 49
9 : 4 : -1 : 0
9 : 5 : 0 : 1
9 : 6 : 291.219 : 2
9 : 7 : 513.828 : 1
9 : 8 : 284.674 : 20
9 : 9 : 350.847 : 18
9 : 10 : 231.731 : 18
9 : 11 : 525.826 : 45
10 : 0 : 289.237 : 32
10 : 1 : 236.889 : 36
10 : 2 : 231.643 : 91
10 : 3 : 216.677 : 38
10 : 4 : 481.875 : 3
10 : 5 : 318.624 : 2
10 : 6 : -1 : 0
10 : 7 : 59.4487 : 1
10 : 8 : 261.627 : 36
10 : 9 : 238.43 : 34
10 : 10 : 229.886 : 17
10 : 11 : 752.219 : 43
11 : 0 : 229.524 : 28
11 : 1 : 207.551 : 28
11 : 2 : 232.481 : 12
11 : 3 : 279.942 : 20
11 : 4 : 355.652 : 6
11 : 5 : 299.369 : 5
11 : 6 : -1 : 0
11 : 7 : -1 : 0
11 : 8 : 405.205 : 11
11 : 9 : 1112.74 : 16
11 : 10 : 223.566 : 64
11 : 11 : 282.536 : 29
