Module	 HV
1	-1460.54
2	-1458.53
3	-1453.94
4	-1420.17
5	-2038.35
6	-1647.42
7	-1630.39
8	-1668.26
9	-1431.69
10	-1406.22
11	-1382.04
12	-1443.64
13	-1412.56
14	-1419.35
15	-1417
16	-1394.17
17	-1801.03
18	-1580.39
19	-1858.8
20	-2219.38
21	-1395.97
22	-1452.3
23	-1526.75
24	-1557.51
25	-1412.6
26	-1561.54
27	-1455.12
28	-1397.61
29	-1877
30	-1659.56
31	-2146.86
32	-1986.84
33	-1446.53
34	-1429.3
35	-1523.4
36	-1410.1
37	-1433.81
38	-1416.41
39	-1389.51
40	-1449.48
41	-1564.11
42	-1566.71
43	-1577.7
44	-1667.37
45	-1400.61
46	-1413.65
47	-1426.05
48	-1429.03
49	-1434.59
50	-1448.11
51	-1512.76
52	-1440.52
53	-1489.82
54	-1622
55	-1669.67
56	-1713.71
57	-1424.77
58	-1432.31
59	-1421.24
60	-1485.49
61	-1437.8
62	-1409.97
63	-1452.49
64	-1423.95
65	-1831.79
66	-1569.26
67	-1528.17
68	-1750.87
69	-1407.47
70	-1438.53
71	-1470.95
72	-1414.76
73	-1662.65
74	-1548.69
75	-1532.36
76	-1529.99
77	-2035.46
78	-2375.95
79	-1610
80	-1826.52
81	-1388.39
82	-1406.33
83	-1410.69
84	-1554.33
85	-1396.98
86	-1409.49
87	-1437.63
88	-1393.12
89	-1587.29
90	-1522.56
91	-1477.86
92	-1637.26
93	-1405.08
94	-1426.91
95	-1436.11
96	-1518.1
97	-1447.2
98	-1390.93
99	-1467.35
100	-1399.32
101	-1743.47
102	-1596.78
103	-1903.7
104	-1805.76
105	-1381.26
106	-1381.65
107	-1427.49
108	-1421.62
109	-1556.21
110	-1450.46
111	-1407.62
112	-1397.14
113	-1477.63
114	-1503.11
115	-1574.51
116	-1619.64
117	-1357.91
118	-1443.53
119	-1407.2
120	-1423.56
121	-1407.79
122	-1432.52
123	-1435.58
124	-1439.32
125	-1386.94
126	-1544.05
127	-1563.91
128	-1467.33
129	-1380.73
130	-1353.12
131	-1484.9
132	-1499.75
133	-1458.18
134	-1384.05
135	-1432.46
136	-1485.63
137	-1652.61
138	-1673.75
139	-1651.43
140	-1729.95
141	-1416.17
142	-1418.45
143	-1415.46
144	-1427.37
145	-1561.47
146	-1538.88
147	-1505.41
148	-1526.33
149	-2424.2
150	-1980.06
151	-1883.51
152	-1768.38
153	-1395.95
154	-1444.76
155	-1459.01
156	-1446.58
157	-1417.11
158	-1422
159	-1462.47
160	-1415.62
161	-1575.88
162	-1988.18
163	-1495.78
164	-1682.82
165	-1423.12
166	-1423.7
167	-1440.78
168	-1472.99
169	-1513.75
170	-1419.33
171	-1427.18
172	-1459.95
173	-1695.72
174	-1486.79
175	-1705.92
176	-1695.91
177	-1424.27
178	-1608.81
179	-1408.77
180	-1440.89
181	-1410.15
182	-1465.13
183	-1388.06
184	-1431.48
185	-1631.52
186	-1701.63
187	-1507.18
188	-1598.36
189	-1470.48
190	-1458.45
191	-1439.4
192	-1403.4
193	-1450.68
194	-1432.75
195	-1437.6
196	-1434.46
197	-1903.92
198	-1291.27
199	-1841.37
200	-2019.79
201	-1393.54
202	-1454.43
203	-1395.72
204	-1575.5
205	-1452.36
206	-1509.27
207	-1395.14
208	-1469.02
209	-1614.47
210	-1461.09
211	-1441.61
212	-1805.12
213	-1377.07
214	-1429.23
215	-1384.35
216	-1470.12
217	-1408.44
218	-1561.3
219	-1379.67
220	-1428.53
221	-1448.69
222	-1708.25
223	-1546.94
224	-1519.97
225	-1350.56
226	-1423.54
227	-1397
228	-1450.08
229	-1418.63
230	-1359.65
231	-1420.74
232	-1433.85
233	-1765.34
234	-1610.8
235	-1641.97
236	-2040.14
237	-1421.25
238	-1398.44
239	-1425.77
240	-1434.27
241	-1499.69
242	-1427.81
243	-1669.13
244	-1457.45
245	-1803.39
246	-1418.79
247	-1792.58
248	-1821.29
249	-1391.48
250	-1473.21
251	-1416.19
252	-1434.26
253	-1496.29
254	-1413.2
255	-1353.58
256	-1365.31
257	-1579.23
258	-1321.01
259	-1411.68
260	-1576.11
261	-1395.69
262	-1379.66
263	-1389.28
264	-1358.61
265	-1531.13
266	-1376.93
267	-1373.08
268	-1376.81
269	-1561.76
270	-1320.12
271	-1704.53
272	-1754.8
273	-1364.3
274	-1374.87
275	-1412.74
276	-1370.34
277	-1431.03
278	-1486.56
279	-1432.14
280	-1437.58
281	-1578.04
282	-1444.02
283	-1706.63
284	-1992.93
285	-1414.8
286	-1404.34
287	-1411.52
288	-1445.03
