Run Number: 528 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
    0     2855.59       59.34       18.09        0.30        8.85        0.28     5922.00   1568.0222        Good
    1     3966.05       68.04       18.46        0.34       10.56        0.36     8660.00   1545.7593        Good
    2     4571.01       71.52       19.92        0.22        8.01        0.17     8444.00   1564.0213        Good
    3     4742.57       73.96       19.59        0.21        7.24        0.15     7673.00   1530.3418        Good
    4     2585.09       54.79       19.49        0.45       12.43        0.52     7114.00   2648.8983        Good
    5     4149.12       71.43       18.90        0.24        6.95        0.16     6567.00   2119.0250        Good
    6     2504.02       58.04       17.07        0.27        6.57        0.20     3742.00   2053.7710        Good
    7     2076.45       53.51       15.84        0.28        6.29        0.21     3052.00   2186.7296        Good
    8     4280.04       71.36       18.88        0.26        7.55        0.19     6787.00   1531.4062        Good
    9     3728.52       68.67       18.44        0.27        7.22        0.19     6054.00   1512.6602        Good
   10     3452.76       66.91       18.47        0.27        6.86        0.19     5222.00   1483.2312        Good
   11     3677.93       61.91       19.91        0.30        9.66        0.27     7702.00   1550.1068        Good
   12     4660.99       86.02       15.66        0.26        7.25        0.24     7437.00   1511.6973        Good
   13    10023.35      121.36       17.82        0.21        6.82        0.16    14239.00   1517.5296        Good
   14     6551.10       91.30       18.45        0.22        7.79        0.17    11613.00   1508.2593        Good
   15     7710.68       98.72       18.39        0.16        6.62        0.11    11847.00   1488.0194        Good
   16     8895.85      108.16       18.63        0.16        6.53        0.11    12408.00   2340.9364        Good
   17     7005.83       98.33       17.43        0.16        6.13        0.11     9951.00   2065.9582        Good
   18     2791.13      154.67        5.86        6.41       16.83        3.15     4711.00   2468.7955        Good
   19        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   20    45325.36    43949.97     -127.22       18.28       14.54        6.04     8329.00        -nan        Good
   21     4268.34       84.98       12.26        0.45        8.71        0.49     7184.00   1557.8985        Good
   22     3477.41       67.88       11.32        1.03       10.98        0.82     6382.00   1633.6065        Good
   23   261059.70    90738.26      -73.67        2.80        3.37        0.65     7522.00        -nan        Good
