#Target HV settings for run 371 from hcal_gain_match.C on Fri Sep 24 11:15:16 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
0 0 -1466.49 -1466.49 -1469.98 Good
0 1 -1448.28 -1448.28 -1450.89 Good
0 2 -1452.67 -1452.67 -1459.12 Good
0 3 -1424.6 -1424.6 -1423.99 Good
0 4 -1986.76 -1986.76 -2027.37 Good
0 5 -1661.72 -1661.72 -1654.48 Good
0 6 -1592.66 -1592.66 -1606.96 Good
0 7 -1640.43 -1640.43 -1647.19 Good
0 8 -1427.93 -1427.93 -1429.34 Good
0 9 -1406.19 -1406.19 -1406.17 Good
0 10 -1383.41 -1383.41 -1381.74 Good
0 11 -1445.82 -1445.82 -1442.56 Good
1 0 -1407.88 -1407.88 -1419.36 Good
1 1 -1413.82 -1413.82 -1415.8 Good
1 2 -1409.26 -1409.26 -1415.32 Good
1 3 -1392.93 -1392.93 -1394.41 Good
1 4 -1776.5 -1776.5 -1778.89 Good
1 5 -1579.53 -1579.53 -1571.5 Good
1 6 -1613.27 -1613.27 -1640.44 Big_error
1 7 -1725.64 -1725.64 -1900.5 Good
1 8 -1379.42 -1379.42 -1362 Good
1 9 -1440.12 -1440.12 -1433.34 Good
1 10 -1498.87 -1498.87 -1493.56 Good
1 11 -1529.23 -1529.23 -1527.29 Big_error
2 0 -1412.09 -1412.09 -1417.57 Good
2 1 -1532.25 -1532.25 -1544.55 Good
2 2 -1434.64 -1434.64 -1441.01 Good
2 3 -1396.12 -1396.12 -1395.66 Good
2 4 -1826.1 -1826.1 -1826.46 Good
2 5 -1652.31 -1652.31 -1643.65 Good
2 6 -1707.09 -1707.09 -1681 Good
2 7 -1744.94 -1744.94 -1683 Good
2 8 -1434.39 -1434.39 -1411.23 Good
2 9 -1424.61 -1424.61 -1417.25 Good
2 10 -1468.39 -1468.39 -1455.16 Good
2 11 -1408.28 -1408.28 -1404.03 Good
3 0 -1432.06 -1432.06 -1435.18 Good
3 1 -1410.06 -1410.06 -1413.79 Good
3 2 -1382.46 -1382.46 -1383.54 Good
3 3 -1438.91 -1438.91 -1441.62 Good
3 4 -1512.78 -1512.78 -1520.76 Good
3 5 -1540.5 -1540.5 -1530.66 Good
3 6 -1577.8 -1577.8 -1546.67 Good
3 7 -1656.09 -1656.09 -1644.55 Good
3 8 -1396.45 -1396.45 -1394.48 Good
3 9 -1411.06 -1411.06 -1407.92 Good
3 10 -1425.14 -1425.14 -1420.65 Good
3 11 -1417.87 -1417.87 -1415.55 Good
4 0 -1430.36 -1430.36 -1433.07 Good
4 1 -1435.46 -1435.46 -1435.4 Good
4 2 -1498.66 -1498.66 -1499.94 Good
4 3 -1435.57 -1435.57 -1433.89 Good
4 4 -1468.96 -1468.96 -1460.54 Good
4 5 -1565.36 -1565.36 -1560.55 Good
4 6 -1664.11 -1664.11 -1654.01 Good
4 7 -1681.9 -1681.9 -1680.15 Good
4 8 -1421.92 -1421.92 -1423.43 Good
4 9 -1424.59 -1424.59 -1422.35 Good
4 10 -1414.65 -1414.65 -1414.33 Good
4 11 -1480.32 -1480.32 -1483.03 Good
5 0 -1432.52 -1432.52 -1431.49 Good
5 1 -1401.59 -1401.59 -1401.5 Good
5 2 -1437.21 -1437.21 -1439.17 Good
5 3 -1422.17 -1422.17 -1421.92 Good
5 4 -1762.97 -1762.97 -1759.1 Good
