Module	 HV
1	-1469.98
2	-1450.89
3	-1459.12
4	-1423.99
5	-2027.37
6	-1654.48
7	-1606.96
8	-1647.19
9	-1429.34
10	-1406.17
11	-1381.74
12	-1442.56
13	-1419.36
14	-1415.8
15	-1415.32
16	-1394.41
17	-1778.89
18	-1571.5
19	-1640.44
20	-1900.5
21	-1395.97
22	-1433.34
23	-1493.56
24	-1527.29
25	-1417.57
26	-1544.55
27	-1441.01
28	-1395.66
29	-1826.46
30	-1643.65
31	-2146.86
32	-1986.84
33	-1411.23
34	-1417.25
35	-1455.16
36	-1404.03
37	-1435.18
38	-1413.79
39	-1383.54
40	-1441.62
41	-1520.76
42	-1530.66
43	-1546.67
44	-1644.55
45	-1394.48
46	-1407.92
47	-1420.65
48	-1415.55
49	-1433.07
50	-1435.4
51	-1499.94
52	-1433.89
53	-1460.54
54	-1560.55
55	-1654.01
56	-1680.15
57	-1423.43
58	-1422.35
59	-1414.33
60	-1483.03
61	-1431.49
62	-1401.5
63	-1439.17
64	-1421.92
65	-1759.1
66	-1540.77
67	-1525.31
68	-1737.25
69	-1406.15
70	-1421
71	-1459.33
72	-1412.03
73	-1599.19
74	-1548.69
75	-1496.15
76	-1506.71
77	-1876.67
78	-2287.35
79	-1609.13
80	-1814.72
81	-1387.85
82	-1400.12
83	-1408.81
84	-1575.83
85	-1392.68
86	-1403.9
87	-1428.24
88	-1389.31
89	-1567.57
90	-1507.57
91	-1484.3
92	-1630.35
93	-1403.72
94	-1428.79
95	-1431.96
96	-1560.39
97	-1443.2
98	-1388.73
99	-1462.98
100	-1398.01
101	-1746.36
102	-1603.13
103	-1864.23
104	-1817.61
105	-1385.7
106	-1389.51
107	-1429.31
108	-1421.98
109	-1537.62
110	-1445.46
111	-1406.67
112	-1396.79
113	-1473.38
114	-1490.12
115	-1557.6
116	-1623.91
117	-1361.8
118	-1465.04
119	-1408.13
120	-1425.2
121	-1410.14
122	-1430.96
123	-1430.94
124	-1440.39
125	-1388.11
126	-1544.48
127	-1551.74
128	-1490.65
129	-1381
130	-1356.8
131	-1467.78
132	-1494.3
133	-1452.44
134	-1380.98
135	-1430.71
136	-1480.89
137	-1623.56
138	-1650.7
139	-1632.06
140	-1714.61
141	-1415.98
142	-1412.08
143	-1410.05
144	-1430.52
145	-1461.15
146	-1509.84
147	-1487.03
148	-1487.19
149	-2285.82
150	-1866.36
151	-1874.6
152	-1751
153	-1394.39
154	-1420.94
155	-1446.64
156	-1434.52
157	-1412.27
158	-1401.3
159	-1458.79
160	-1403.21
161	-1501.91
162	-1906.6
163	-1471
164	-1659.64
165	-1413.11
166	-1413.05
167	-1428.75
168	-1460.03
169	-1494.69
170	-1409.53
171	-1412.57
172	-1449.9
173	-1643.06
174	-1442.56
175	-1677.43
176	-1666.85
177	-1414.12
178	-1508.91
179	-1389.6
180	-1395.62
181	-1403.91
182	-1453.27
183	-1384.38
184	-1423.81
185	-1594.26
186	-1642.55
187	-1487.08
188	-1577.43
189	-1463.56
190	-1447.72
191	-1431.78
192	-1397.33
193	-1450.51
194	-1419.19
195	-1438.74
196	-1431.5
197	-1849.54
198	-2075.56
199	-1780.56
200	-1912.06
201	-1387.09
202	-1448.54
203	-1396.37
204	-1537.95
205	-1451.53
206	-1466.22
207	-1395.41
208	-1471.38
209	-1579.15
210	-1430
211	-1420.4
212	-1761.82
213	-1372.92
214	-1414.96
215	-1384.73
216	-1459.45
217	-1409.48
218	-1524.91
219	-1381.03
220	-1432.87
221	-1462.48
222	-1666.84
223	-1525.78
224	-1496.98
225	-1347.89
226	-1416.83
227	-1400.15
228	-1434.56
229	-1424.73
230	-1365.25
231	-1427.93
232	-1440.65
233	-1775.61
234	-1595.54
235	-1612.81
236	-1973.59
237	-1418.44
238	-1398.9
239	-1426.13
240	-1434.39
241	-1516.35
242	-1439.45
243	-1750.62
244	-1469.94
245	-1842.7
246	-1426.34
247	-1783.27
248	-1826.51
249	-1394.71
250	-1459.47
251	-1424.66
252	-1440.76
253	-1516.51
254	-1423.52
255	-1361.57
256	-1378.11
257	-1616.71
258	-1341.91
259	-1420.69
260	-1581.19
261	-1403.14
262	-1385.1
263	-1397.46
264	-1368.65
265	-1548.67
266	-1389.62
267	-1377.88
268	-1387.78
269	-1614.13
270	-1338.89
271	-1748.72
272	-1769.73
273	-1369.75
274	-1380.5
275	-1417.89
276	-1380.72
277	-1445.04
278	-1500.44
279	-1443.23
280	-1447.24
281	-1609.27
282	-1470.87
283	-1748.62
284	-2016.64
285	-1421.89
286	-1412.27
287	-1418.78
288	-1456.13
