#Averaged int pulse and pulse max data for run 989.
#Total number of pulse events is 806327.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  -1  -1  0
0  1  816.171  125.43  8581
0  2  694.817  106.806  9031
0  3  1190.92  108983  11545
0  4  706.477  100.789  6566
0  5  972.324  137.911  14949
0  6  717.868  418.697  12173
0  7  893.618  6168.07  14576
0  8  1352.13  210.946  17505
0  9  1030.11  164.071  13853
0  10  799.002  126.789  10440
0  11  965.55  151.933  9560
1  0  1051.83  161.7  13302
1  1  1279.3  413.382  14076
1  2  809.135  122.279  11410
1  3  1136.75  175.126  14351
1  4  1668.85  261.994  16038
1  5  649.715  92.5352  8381
1  6  1896.86  298.586  15832
1  7  1012.04  260.963  12729
1  8  1102.09  178.758  12229
1  9  980.128  159.64  10315
1  10  836.385  136.765  8121
1  11  722.133  116.933  4964
2  0  701.341  105.996  4727
2  1  1095.9  163.786  10942
2  2  1186.59  177.75  11503
2  3  738.205  111.659  9027
2  4  1038.2  6989.17  11222
2  5  1743.86  244.821  12923
2  6  1022.91  141.063  10848
2  7  1077.81  147.577  10421
2  8  982.12  151.008  9323
2  9  687.412  111.129  2774
2  10  1396.56  218.047  7411
2  11  1465.7  229.827  6428
3  0  1153.9  182.301  8749
3  1  785.676  123.378  6906
3  2  1265.08  195.64  9973
3  3  946.074  150.543  9074
3  4  1289.65  177.828  9881
3  5  1196.02  156.683  9073
3  6  1547.59  241.448  10451
3  7  1219.11  171.409  8806
3  8  622.046  97.3168  4670
3  9  700.073  113.06  4896
3  10  776.99  124.203  4778
3  11  1174.55  184.35  4833
4  0  780.847  118.667  5651
4  1  1252.5  193.123  7150
4  2  742.711  112.29  6362
4  3  859.476  133.07  7013
4  4  831.344  987.166  5922
4  5  1661.92  421.585  8829
4  6  885.368  123.098  6212
4  7  956.053  137.873  5159
4  8  1599.34  254.711  6810
4  9  699.694  110.877  4094
4  10  1226.05  199.717  4802
4  11  530.539  87.6146  715
5  0  781.23  123.629  4682
5  1  550.719  88.9332  2789
5  2  1408.1  225.096  6773
5  3  749.27  121.001  4817
5  4  1298.91  183.388  6689
5  5  2189.23  1487.53  7549
5  6  1876.11  295.145  6896
5  7  775.713  108.735  4410
5  8  1690.63  274.722  5565
5  9  930.119  148.173  4145
5  10  1465.89  233.553  4204
5  11  593.871  96.2507  2010
6  0  1218.05  185.065  5088
6  1  600.766  93.3166  21
6  2  1634.15  256.665  5850
6  3  860.879  127.981  4685
6  4  1933.65  295.22  5915
6  5  1089.54  378.576  5166
6  6  1506.47  210.145  5259
6  7  1615.44  233.176  4856
6  8  2635.89  422.331  4866
6  9  965.173  152.003  3414
6  10  1297.37  210.5  3353
6  11  869.782  145.304  2412
7  0  1030.31  165.68  4042
7  1  2208.39  345.818  4698
7  2  1018.43  163.89  4253
7  3  799.873  126.665  3710
7  4  890.938  128.901  3853
7  5  1398.61  227.442  4525
7  6  1186.1  188.394  4139
7  7  765.842  113.302  2297
7  8  981.81  157.272  3233
7  9  1302.22  215.539  3137
7  10  951.535  152.908  2493
7  11  872.03  153.797  2047
8  0  549.206  89.234  1304
8  1  1026.87  166.473  3302
8  2  2095.63  355.33  4229
8  3  792.46  127.716  2983
8  4  952.631  138.327  3097
8  5  2385.68  375.162  4070
8  6  999.412  146.515  3031
8  7  782.24  110.927  2410
8  8  1284.3  280.654  3009
8  9  689.345  106.645  1907
8  10  1031.9  163.982  2216
8  11  848.635  138.356  1802
9  0  640.905  104.665  1539
9  1  1349.23  225.816  3016
9  2  2432.91  388.088  3519
9  3  2078.25  329.756  3500
9  4  1358.85  191.445  3136
9  5  3316.25  2283.66  3441
9  6  2130.49  327.297  3173
9  7  1328.29  188.206  2633
9  8  1190.7  190.065  2437
9  9  1550.48  243.731  2376
9  10  1416.7  225.707  2074
9  11  2274.81  360.778  2108
10  0  434.763  72.9946  345
10  1  1584.19  241.563  2729
10  2  1750.7  285.567  2845
10  3  1644.89  259.908  2837
10  4  1336.33  194.859  2632
10  5  3156.64  509.089  2921
10  6  1112.31  165.092  2156
10  7  962.058  9282.49  1843
10  8  2001.11  314.873  2219
10  9  1810.25  503.448  2116
10  10  1064.73  167.81  1679
10  11  1849.57  301.932  1747
11  0  936.486  144.651  1978
11  1  543.89  84.8332  1077
11  2  855.205  139.388  2033
11  3  849.841  137.895  1955
11  4  1414.4  205.45  2172
11  5  2165.16  346.604  2362
11  6  1138.06  160.52  1892
11  7  950.814  131.752  1333
11  8  1354.91  221.991  1774
11  9  1433.7  237.781  1712
11  10  2432.24  405.729  1826
11  11  739.56  122.772  1106
