#Averaged int pulse and pulse max data for run 1198.
#Total number of pulse events is 4229712.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  100.652  -300179  29373
0  1  62.7386  -4.41978e+06  29373
0  2  72.8079  -2.2603e+06  29373
0  3  100.346  -1.05671e+06  29373
0  4  720.586  -4.04802e+09  29373
0  5  1643.99  -3.10691e+06  29373
0  6  871.091  -1.43295e+07  29373
0  7  527.449  -1.08898e+07  29373
0  8  113.802  -7.49533e+06  29373
0  9  77.2084  -1.16865e+06  29373
0  10  121.838  -827537  29373
0  11  25.8901  -1.53204e+07  29373
1  0  121.109  -1.58537e+07  29373
1  1  91.5517  -1.74932e+07  29373
1  2  83.7011  -9.86801e+06  29373
1  3  80.6844  -9.19592e+06  29373
1  4  2756.09  -8.68907e+06  29373
1  5  766.765  -5.10976e+06  29373
1  6  2583.52  -1.24938e+06  29373
1  7  1540.71  -1.80234e+06  29373
1  8  92.4631  -162244  29373
1  9  92.9996  -3.02014e+06  29373
1  10  57.5734  -9.02787e+06  29373
1  11  -2.86617  -1.52351e+06  29373
2  0  52.8608  -54629.6  29373
2  1  35.5025  -31363  29373
2  2  90.7494  -11594.7  29373
2  3  59.5589  -830362  29373
2  4  1415.87  -1.89672e+07  29373
2  5  1976.63  -1.78484e+07  29373
2  6  1411.65  -2.19096e+07  29373
2  7  1171.72  -1.97736e+06  29373
2  8  98.5355  -363853  29373
2  9  15.525  -5.11742e+06  29373
2  10  86.7989  -1.00992e+06  29373
2  11  66.0715  -8.34321e+06  29373
3  0  96.7107  -635773  29373
3  1  94.0336  -11005  29373
3  2  138.084  -280.246  29373
3  3  121.007  -15448.6  29373
3  4  1999.64  -278271  29373
3  5  2001.05  -3.11743e+06  29373
3  6  1963.94  -3.62006e+06  29373
3  7  911.294  -4.86603e+06  29373
3  8  12.1513  -686487  29373
3  9  84.3872  -1.32298e+06  29373
3  10  1.71805  -1.58144e+06  29373
3  11  20.7887  -374874  29373
4  0  79.6467  -391055  29373
4  1  59.0382  -7.1942e+07  29373
4  2  61.0748  -7.7186e+07  29373
4  3  69.5916  -5.28815e+07  29373
4  4  1277.02  -8.73136e+06  29373
4  5  1769.19  -1.16432e+07  29373
4  6  1088.24  -1.94603e+07  29373
4  7  1050.51  -5.88015e+07  29373
4  8  98.9966  -3.36191e+07  29373
4  9  80.2177  -4.79406e+07  29373
4  10  74.3817  -4.86936e+09  29373
4  11  31.447  -6.66558e+09  29373
5  0  64.6039  -5.1831e+08  29373
5  1  57.4118  -6.36285e+08  29373
5  2  132.366  -1.42145e+08  29373
5  3  98.9218  -1.90631e+08  29373
5  4  1730.21  -2.69588e+08  29373
5  5  3637.83  -1.31539e+08  29373
5  6  1295.29  -1.64326e+08  29373
5  7  256.287  -2.06105e+08  29373
5  8  47.3837  -4.99317e+07  29373
5  9  79.2899  -1.12769e+07  29373
5  10  86.1412  -8.57965e+06  29373
5  11  119.46  -1.63266e+07  29373
6  0  60.2558  -1.24176e+06  29373
6  1  -18.3709  -443407  29373
6  2  91.6063  -1.77693e+06  29373
6  3  49.3888  -1.07127e+06  29373
6  4  1487.53  -576.905  29373
6  5  1132.87  -8040.65  29373
6  6  589.738  -2.98849e+07  29373
6  7  723.25  -3.56678e+07  29373
6  8  158.436  -997722  29373
6  9  78.7579  -3.81725e+07  29373
6  10  44.0903  -3.84012e+07  29373
6  11  67.7051  -5.00924e+06  29373
7  0  53.5169  -837692  29373
7  1  199.224  -133867  29373
7  2  91.1649  -195.808  29373
7  3  81.9099  -707474  29373
7  4  988.275  -28410.9  29373
