Run Number: 183 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
    0     1703.57       71.77       21.05        0.65       10.05        0.50     1383.00   1579.7832        Good
    1     2050.95       76.92       25.99        0.99       13.36        0.78     2014.00   1559.8905        Good
    2     3173.51       88.04       26.84        0.55       11.05        0.35     2539.00   1568.2933        Good
    3     2487.85       79.45       26.15        0.68       10.89        0.45     1949.00   1534.7819        Good
    4     1984.29       89.90       18.59        0.57        9.03        0.49     1537.00   2790.6710        Good
    5     1889.81       68.71       25.43        0.69       10.38        0.45     1444.00   2177.1066        Good
    6     2810.49       77.84       30.17        0.76       12.41        0.49     2320.00   2089.5535        Good
    7     2284.12       70.35       30.57        0.86       12.69        0.56     1927.00   2215.9539        Good
    8     3077.65       83.86       29.67        0.63       11.66        0.41     2309.00   1535.3676        Good
    9  1924793.80  1043567.10      -54.87        6.93        1.22        0.37     3099.00        -nan        Good
   10     3493.69       98.48       32.58        0.52       10.54        0.39     2852.00   1484.5919        Good
   11     2901.90       82.39       27.56        0.78       13.22        0.59     2531.00   1555.0405        Good
   12     2163.38       76.08       24.53        0.69       12.51        0.58     1999.00   1530.1110        Good
   13     4089.76      109.21       31.53        0.51       11.35        0.45     3500.00   1525.5626        Good
   14     3125.81       78.71       34.92        0.83       15.61        0.58     3415.00   1508.0916        Good
   15     3131.77       78.97       34.93        0.73       13.98        0.49     2908.00   1489.6163        Good
   16     3316.02       85.45       31.03        0.69       11.98        0.42     2675.00   2410.6041        Good
   17     3259.89      103.47       29.04        0.46        9.30        0.36     2262.00   2094.9991        Good
   18     2295.71       87.80       28.75        1.04       17.91        1.28     3049.00   2398.5639        Good
   19   373968.19   220076.72      -65.29        3.95        2.24        0.66     2139.00        -nan        Good
   20     2059.11       65.90       16.81        6.16       29.50        3.33     2994.00   1538.2000        Good
   21        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   22     2977.44       84.99       28.24        0.73       14.64        0.62     3008.00   1636.7833        Good
   23     2008.60       60.33       21.21        1.88       20.19        1.12     2898.00   1712.7450        Good
   24     2459.41       74.32       28.63        0.78       13.48        0.58     2204.00   1517.9831        Good
   25     1176.24       42.36       32.04        2.34       27.56        1.63     2538.00   1670.8933        Good
   26        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   27     2744.78       72.35       36.27        0.69       14.27        0.47     2648.00   1497.8305        Good
   28     2376.08       65.74       35.23        1.02       19.64        0.92     2919.00   2476.0765        Good
   29     2279.70       65.70       32.85        0.70       14.14        0.47     2351.00   2186.0089        Good
   30        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   31        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   32        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   33        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   34   158505.74    76773.27     -261.09       19.90        8.94        2.17     2682.00        -nan        Good
   35        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   36        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   37     3629.49      102.61       40.84        0.54       11.38        0.49     3246.00   1507.0258        Good
   38     3927.03       83.83       41.17        1.01       22.95        1.05     4946.00   1482.4152        Good
