#Target HV settings for run 356 from hcal_gain_match.C on Thu Sep 23 18:08:19 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
0 0 0 0 0 Good
0 1 0.996995 0.996995 1 Good
0 2 1.99028 1.99028 2 Good
0 3 2.9973 2.9973 3 Good
0 4 6.33575 6.33575 4 Narrow
0 5 5.07541 5.07541 5 Narrow
0 6 nan nan 6 Good
0 7 4.51902 4.51902 7 Good
0 8 7.98523 7.98523 8 Good
0 9 nan nan 9 Good
0 10 nan nan 10 Good
0 11 9.9602 9.9602 11 Good
1 0 11.8709 11.8709 12 Good
1 1 12.974 12.974 13 Good
1 2 13.9121 13.9121 14 Good
1 3 15.0043 15.0043 15 Good
1 4 nan nan 16 Narrow
1 5 nan nan 17 Good
1 6 nan nan 18 Narrow
1 7 26.9785 26.9785 19 Narrow
1 8 20.1038 20.1038 20 Big_error
1 9 nan nan 21 Narrow
1 10 22.3288 22.3288 22 Narrow
1 11 nan nan 23 Narrow
2 0 23.7827 23.7827 24 Big_error
2 1 25.1095 25.1095 25 Good
2 2 25.9614 25.9614 26 Good
2 3 26.9987 26.9987 27 Good
2 4 44.6784 44.6784 28 Good
2 5 29.3733 29.3733 29 Good
2 6 nan nan 30 Narrow
2 7 nan nan 31 Narrow
2 8 32.432 32.432 32 Good
2 9 33.768 33.768 33 Narrow
2 10 nan nan 34 Narrow
2 11 31.712 31.712 35 Good
3 0 35.3071 35.3071 36 Big_error
3 1 36.846 36.846 37 Good
3 2 38.0157 38.0157 38 Good
3 3 38.9394 38.9394 39 Good
3 4 73.2569 73.2569 40 Good
3 5 nan nan 41 Good
3 6 nan nan 42 Narrow
3 7 nan nan 43 Narrow
3 8 44.0713 44.0713 44 Good
3 9 43.7115 43.7115 45 Good
3 10 53.6194 53.6194 46 Narrow
3 11 45.9561 45.9561 47 Narrow
4 0 46.4492 46.4492 48 Good
4 1 48.9517 48.9517 49 Good
4 2 49.8757 49.8757 50 Good
4 3 51.0312 51.0312 51 Good
4 4 53.4807 53.4807 52 Good
4 5 43.9774 43.9774 53 Good
4 6 nan nan 54 Narrow
4 7 36.7803 36.7803 55 Good
4 8 55.9564 55.9564 56 Good
4 9 56.9906 56.9906 57 Good
4 10 56.9301 56.9301 58 Wide
4 11 58.9577 58.9577 59 Wide
5 0 56.8707 56.8707 60 Big_error
5 1 61.0211 61.0211 61 Big_error
5 2 61.7225 61.7225 62 Good
5 3 62.8989 62.8989 63 Good
5 4 113.559 113.559 64 Narrow
5 5 45.9044 45.9044 65 Good
5 6 43.6212 43.6212 66 Narrow
5 7 42.5435 42.5435 67 Narrow
5 8 67.7358 67.7358 68 Good
5 9 69.1281 69.1281 69 Good
5 10 nan nan 70 Narrow
5 11 68.6747 68.6747 71 Wide
6 0 74.6681 74.6681 72 Good
6 1 nan nan 73 Narrow
6 2 nan nan 74 Narrow
6 3 74.8744 74.8744 75 Good
6 4 nan nan 76 Narrow
6 5 nan nan 77 Good
6 6 124.843 124.843 78 Good
6 7 nan nan 79 Narrow
6 8 79.9039 79.9039 80 Good
6 9 75.8372 75.8372 81 Good
6 10 81.8424 81.8424 82 Good
6 11 81.9671 81.9671 83 Good
7 0 83.9931 83.9931 84 Good
7 1 79.5309 79.5309 85 Big_error
7 2 85.8481 85.8481 86 Good
7 3 86.9431 86.9431 87 Good
7 4 62.9189 62.9189 88 Narrow
7 5 79.1728 79.1728 89 Big_error
7 6 59.4448 59.4448 90 Narrow
7 7 156.459 156.459 91 Good
7 8 91.782 91.782 92 Good
7 9 92.7406 92.7406 93 Good
7 10 84.3596 84.3596 94 Good
7 11 94.3826 94.3826 95 Narrow
8 0 95.9293 95.9293 96 Good
8 1 97.0433 97.0433 97 Good
8 2 97.7617 97.7617 98 Good
8 3 98.9501 98.9501 99 Good
8 4 nan nan 100 Good
8 5 101.372 101.372 101 Good
8 6 nan nan 102 Narrow
8 7 64.709 64.709 103 Narrow
8 8 103.845 103.845 104 Big_error
8 9 93.8044 93.8044 105 Good
8 10 95.8603 95.8603 106 Big_error
8 11 nan nan 107 Narrow
9 0 107.201 107.201 108 Good
9 1 108.81 108.81 109 Good
9 2 109.98 109.98 110 Good
9 3 110.962 110.962 111 Good
9 4 nan nan 112 Good
9 5 111.839 111.839 113 Good
9 6 nan nan 114 Narrow
9 7 154.76 154.76 115 Narrow
9 8 115.617 115.617 116 Good
9 9 105.269 105.269 117 Good
9 10 117.554 117.554 118 Good
9 11 109.731 109.731 119 Narrow
10 0 119.751 119.751 120 Good
10 1 120.904 120.904 121 Good
10 2 121.666 121.666 122 Good
10 3 122.868 122.868 123 Good
10 4 nan nan 124 Narrow
10 5 87.5806 87.5806 125 Narrow
10 6 80.6922 80.6922 126 Narrow
10 7 213.649 213.649 127 Narrow
10 8 127.613 127.613 128 Good
10 9 128.858 128.858 129 Good
10 10 135.082 135.082 130 Good
10 11 131.134 131.134 131 Narrow
11 0 132.188 132.188 132 Good
11 1 132.964 132.964 133 Good
11 2 133.81 133.81 134 Good
11 3 135.132 135.132 135 Good
11 4 nan nan 136 Narrow
11 5 121.265 121.265 137 Narrow
11 6 nan nan 138 Narrow
11 7 249.309 249.309 139 Narrow
11 8 139.536 139.536 140 Good
11 9 140.958 140.958 141 Good
11 10 142.449 142.449 142 Good
11 11 143.307 143.307 143 Good
12 0 147.05 147.05 144 Good
12 1 142.828 142.828 145 Good
12 2 145.913 145.913 146 Good
12 3 142.932 142.932 147 Good
12 4 164.771 164.771 148 Narrow
12 5 169.085 169.085 149 Narrow
12 6 nan nan 150 Narrow
12 7 149.611 149.611 151 Good
12 8 151.684 151.684 152 Good
12 9 150.551 150.551 153 Good
12 10 153.898 153.898 154 Good
12 11 158.819 158.819 155 Narrow
13 0 156.156 156.156 156 Good
13 1 156.506 156.506 157 Good
13 2 158.123 158.123 158 Good
13 3 158.556 158.556 159 Good
13 4 153.189 153.189 160 Good
13 5 111.414 111.414 161 Narrow
13 6 112.097 112.097 162 Narrow
13 7 292.749 292.749 163 Good
13 8 163.65 163.65 164 Good
13 9 164.638 164.638 165 Good
13 10 166.218 166.218 166 Good
13 11 166.881 166.881 167 Good
14 0 167.011 167.011 168 Narrow
14 1 168.664 168.664 169 Good
14 2 169.785 169.785 170 Good
14 3 170.614 170.614 171 Good
14 4 289.75 289.75 172 Good
14 5 119.874 119.874 173 Wide
14 6 130.485 130.485 174 Narrow
14 7 nan nan 175 Good
14 8 176.187 176.187 176 Good
14 9 175.959 175.959 177 Narrow
14 10 178.415 178.415 178 Good
14 11 179.797 179.797 179 Good
15 0 180.121 180.121 180 Big_error
15 1 180.865 180.865 181 Good
15 2 182.181 182.181 182 Good
15 3 183.116 183.116 183 Good
