Module	 HV
1	-1479.43
2	-1456.65
3	-1463.12
4	-1428.52
5	-2087
6	-1681.71
7	-1629.26
8	-1672.06
9	-1434.06
10	-1410.35
11	-1380.1
12	-1451.15
13	-1433.05
14	-1419.1
15	-1422.13
16	-1396.81
17	-1813.55
18	-1583.28
19	-2009
20	-2056.97
21	-1431
22	-1457.77
23	-1512.42
24	-1608
25	-1423.22
26	-1548.23
27	-1452.95
28	-1398.48
29	-1905.95
30	-1703.57
31	-2260.48
32	-1901.18
33	-1424.39
34	-1413.61
35	-1596
36	-1408.57
37	-1437.94
38	-1411.39
39	-1381.11
40	-1444.21
41	-1556.72
42	-1561.4
43	-1552.53
44	-1659.17
45	-1392.94
46	-1404.45
47	-1420.13
48	-1416.02
49	-1436.5
50	-1436.7
51	-1501.39
52	-1431.92
53	-1460.63
54	-1585.59
55	-1664.88
56	-1697.52
57	-1420.94
58	-1421.68
59	-1408.76
60	-1486.09
61	-1439.1
62	-1401.52
63	-1439.19
64	-1417.94
65	-1766.92
66	-1549.49
67	-1540.38
68	-1728.48
69	-1392
70	-1418.75
71	-1452.86
72	-1411.55
73	-1614.35
74	-1511.36
75	-1627
76	-1511.76
77	-1917.23
78	-2300.19
79	-1627.48
80	-1808.17
81	-1384.36
82	-1394.48
83	-1403.12
84	-1457.59
85	-1396.37
86	-1400.67
87	-1424.67
88	-1381.73
89	-1553.3
90	-1513.35
91	-1433.59
92	-1596.01
93	-1397.61
94	-1419.16
95	-1432.82
96	-1500.34
97	-1447.85
98	-1385.11
99	-1459.67
100	-1394.2
101	-1680.46
102	-1573.96
103	-1894.87
104	-1760.46
105	-1381.36
106	-1378.97
107	-1424.94
108	-1424.06
109	-1547.81
110	-1438.55
111	-1403.16
112	-1388.99
113	-1454.11
114	-1474.97
115	-1525.72
116	-1606.83
117	-1355.66
118	-1438.35
119	-1407.73
120	-1420.57
121	-1407
122	-1431.26
123	-1428.09
124	-1439.12
125	-1361.47
126	-1534.08
127	-1505.12
128	-1417.53
129	-1378.44
130	-1354.28
131	-1486.28
132	-1497.62
133	-1455.61
134	-1374.01
135	-1425.92
136	-1478.18
137	-1668.55
138	-1679.4
139	-1605.99
140	-1619.69
141	-1412.08
142	-1416.56
143	-1418.57
144	-1415.91
145	-1524.73
146	-1504.03
147	-1500.26
148	-1484.51
149	-2288.7
150	-1943.82
151	-1899.34
152	-1784.69
153	-1393.17
154	-1435.06
155	-1457.35
156	-1450.66
157	-1408.27
158	-1404.92
159	-1447.96
160	-1405.09
161	-1537.93
162	-1926.65
163	-1463.85
164	-1658.32
165	-1416.6
166	-1418.5
167	-1438.09
168	-1475.09
169	-1506.94
170	-1409.79
171	-1414.31
172	-1450.01
173	-1654.23
174	-1436.09
175	-1621.28
176	-1653.85
177	-1416.11
178	-1712
179	-1400.42
180	-1391.54
181	-1411.25
182	-1442.79
183	-1384.34
184	-1427
185	-1591.2
186	-1641.71
187	-1473.97
188	-1555.21
189	-1467.58
190	-1452.74
191	-1438.37
192	-1405.13
193	-1446.98
194	-1416.66
195	-1437.63
196	-1430.09
197	-1833.86
198	-914.59
199	-1686.98
200	-1934.78
201	-1387.81
202	-1448.04
203	-1392.3
204	-1740
205	-1457
206	-1449.89
207	-1389.24
208	-1464.87
209	-1536.64
210	-1397.62
211	-1412.44
212	-1764.06
213	-1364.75
214	-1415.98
215	-1382.18
216	-1469.35
217	-1411.63
218	-1514.16
219	-1375.95
220	-1424.77
221	-1428.84
222	-1615.21
223	-1475.15
224	-1487.83
225	-1341
226	-1410.82
227	-1397.98
228	-1650
229	-1421.14
230	-1354.58
231	-1422.29
232	-1434.04
233	-1739.02
234	-1564.29
235	-1596.31
236	-1974.71
237	-1418.42
238	-1394.14
239	-1418.64
240	-1440.35
241	-1509.34
242	-1430.25
243	-1465.44
244	-1471.55
245	-1767.87
246	-1394.46
247	-1724.38
248	-1813.48
249	-1394.65
250	-1464.89
251	-1420.41
252	-1600
253	-1502.47
254	-1411.29
255	-1357.58
256	-1359.97
257	-1570.86
258	-1320.24
259	-1391.2
260	-1579.09
261	-1404.05
262	-1385.47
263	-1389.88
264	-1354.04
265	-1540.8
266	-1377.04
267	-1373.76
268	-1379.24
269	-1558.4
270	-1320.03
271	-1723.11
272	-1824.59
273	-1367.49
274	-1377.21
275	-1414.44
276	-1370.03
277	-1438.36
278	-1492.87
279	-1436.59
280	-1440.52
281	-1586.14
282	-1458.09
283	-1687.42
284	-2040.42
285	-1425.08
286	-1411.95
287	-1417.73
288	-1458.72
