#Target HV settings for run 270 from hcal_gain_match.C on Tue Sep 14 11:55:10 2021
#
#Row Col targetHV Error
0 0 1 Big_error
0 1 1 Big_error
0 2 1 Big_error
0 3 1 Big_error
0 4 1 Big_error
0 5 1 Big_error
0 6 1 Big_error
0 7 1 Big_error
0 8 1 Big_error
0 9 1 Big_error
0 10 1 Big_error
0 11 1 Narrow
1 0 1 Big_error
1 1 1 Big_error
1 2 1 Big_error
1 3 1 Big_error
1 4 1838.49 Good
1 5 1 Big_error
1 6 1 Big_error
1 7 1 Narrow
1 8 1 Big_error
1 9 1 Big_error
1 10 -nan Good
1 11 -nan Good
2 0 1 Big_error
2 1 1682.06 Good
2 2 -nan Good
2 3 1407.06 Good
2 4 -nan Good
2 5 1 Big_error
2 6 1 Narrow
2 7 1 Big_error
2 8 1 Big_error
2 9 1 Big_error
2 10 1 Narrow
2 11 1420.39 Good
3 0 1454.63 Good
3 1 1 Big_error
3 2 1 Big_error
3 3 -nan Good
3 4 1 Big_error
3 5 1 Big_error
3 6 1618.26 Good
3 7 1761.09 Good
3 8 1 Big_error
3 9 1 Big_error
3 10 1 Big_error
3 11 1 Big_error
4 0 1 Big_error
4 1 1 Big_error
4 2 1 Big_error
4 3 1443.09 Good
4 4 1 Big_error
4 5 1 Big_error
4 6 1 Big_error
4 7 1 Big_error
4 8 1 Big_error
4 9 1 Big_error
4 10 1 Big_error
4 11 -nan Good
5 0 1 Big_error
5 1 1 Big_error
5 2 1 Big_error
5 3 1 Big_error
5 4 1 Big_error
5 5 1 Big_error
5 6 1549.3 Good
5 7 1 Big_error
5 8 -nan Good
5 9 1 Big_error
5 10 1 Big_error
5 11 -nan Good
6 0 1 Narrow
6 1 1 Big_error
6 2 1 Narrow
6 3 1 Big_error
6 4 1 Big_error
6 5 1 Big_error
6 6 1 Big_error
6 7 1 Big_error
6 8 1405.19 Good
6 9 1 Big_error
6 10 1432 Good
6 11 1466.1 Good
7 0 1 Big_error
7 1 1 Big_error
7 2 1 Big_error
7 3 1 Big_error
7 4 1 Big_error
