#Integrated pulse data for run 980.
#Total number of integrated events is 668986.
#Row  Column  pmtIntValue  EvTotal
0  0  2524.19  12141
0  1  2759.05  14381
0  2  2450.84  15784
0  3  3330.43  14465
0  4  794.3  4887
0  5  1185.42  8059
0  6  1046.37  8256
0  7  1344.6  8443
0  8  6013.66  12120
0  9  4731.94  12012
0  10  4133.46  9985
0  11  5042.3  9231
1  0  4814.11  11778
1  1  5253.36  10583
1  2  3811.69  12542
1  3  4756.82  12109
1  4  2456.09  8819
1  5  955.255  6170
1  6  3052.94  9083
1  7  1546.49  7157
1  8  4816.66  9756
1  9  4726.21  8888
1  10  4304.47  7288
1  11  3318.88  5952
2  0  2728.71  9696
2  1  4501.59  9800
2  2  4549.62  10770
2  3  3422.58  11202
2  4  1418.77  6217
2  5  2353.31  7048
2  6  1398.97  5932
2  7  1278.38  4284
2  8  4873.24  8538
2  9  2040.08  6161
2  10  5404.9  4665
2  11  4942.39  4764
3  0  4518.6  7564
3  1  3603.38  8276
3  2  5668.93  8830
3  3  4995.27  8512
3  4  1265.38  3942
3  5  1521.78  4844
3  6  2307.39  4816
3  7  1374.26  3070
3  8  3194.37  6521
3  9  3780.28  5554
3  10  4038.78  4914
3  11  5003.55  4306
4  0  3532.11  6952
4  1  5137.77  6504
4  2  3803.62  7989
4  3  4399.97  7734
4  4  953.208  3317
4  5  2315.14  4417
4  6  1250.51  3488
4  7  1001.32  2636
4  8  5276.72  5090
4  9  3417.16  4456
4  10  5784.75  3506
4  11  1459.94  3258
5  0  3997.08  5830
5  1  2326.42  5956
5  2  4957.79  6410
5  3  3420.97  6033
5  4  1454.55  2679
5  5  2452.27  3978
5  6  2832.61  3110
5  7  841.734  2031
5  8  5653.69  4420
5  9  4746.16  3767
5  10  5683.01  3520
5  11  2789.64  3096
6  0  5145.18  4492
6  1  1906.8  4975
6  2  5017.64  5001
6  3  4413.86  5402
6  4  2813.12  3028
6  5  1423.59  2557
6  6  1507.07  1675
6  7  1529.51  1282
6  8  4982.13  2724
6  9  4334.62  3249
6  10  4828.55  2554
6  11  3750  2449
7  0  5069.88  4223
7  1  5352.6  3648
7  2  4555.79  3780
7  3  3747.1  4219
7  4  1143.55  2036
7  5  1884.25  2207
7  6  1734.32  1986
7  7  868.785  1301
7  8  4253.43  3241
7  9  5390.15  2929
7  10  4405.31  2568
7  11  3800.46  2356
8  0  2028.81  3326
8  1  3848.19  3504
8  2  4659.64  2504
8  3  3812.53  3393
8  4  1153.03  1780
8  5  2518.13  2110
8  6  1046.74  1094
8  7  1047.61  1486
8  8  5382.5  2784
8  9  4777.57  2500
8  10  5135  2223
8  11  3535.36  2128
9  0  2464.98  2890
9  1  4011.37  2053
9  2  5586.75  2638
9  3  6119.13  1841
9  4  2014.78  1357
9  5  4083.04  1519
9  6  3582.08  1428
9  7  1370.62  736
9  8  5283.79  2401
9  9  6108.17  1924
9  10  5404.9  1969
9  11  5283.69  1649
10  0  1446.84  2073
10  1  7136.03  1764
10  2  6853.15  1620
10  3  7011.69  1484
10  4  1700.66  1128
10  5  3204.05  1177
10  6  1120.6  719
10  7  666.256  893
10  8  6614.32  1199
10  9  6595.21  1354
10  10  6063.84  1254
10  11  6356.06  1068
11  0  3449.46  2760
11  1  2334.39  2145
11  2  4474.78  2354
11  3  4942.49  1928
11  4  1411.71  998
11  5  2893.6  946
11  6  1424.6  642
11  7  1677.24  669
11  8  5912.24  1655
11  9  5873.65  1554
11  10  6710.64  1022
11  11  3560.39  1169
