#Averaged int pulse and pulse max data for run 1200.
#Total number of pulse events is 4193280.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  309.504  -1.58124e+06  29120
0  1  193.29  -3.389e+06  29120
0  2  213.593  -1.64154e+06  29120
0  3  438.975  -253567  29120
0  4  936.971  -1.26899e+06  29120
0  5  2131.99  -872522  29120
0  6  1078.19  -6.3801e+06  29120
0  7  651.763  -7.5614e+06  29120
0  8  303.853  -6.0633e+06  29120
0  9  210.847  -10109  29120
0  10  242.401  -1.64295e+06  29120
0  11  166.903  -1.30048e+06  29120
1  0  422.076  -240586  29120
1  1  307.245  -696636  29120
1  2  251.462  -1.51413e+06  29120
1  3  297.385  -4.83027e+06  29120
1  4  3516.64  -5.78274e+06  29120
1  5  1000.97  -1.91682e+06  29120
1  6  3314.48  -231976  29120
1  7  1948.82  -215241  29120
1  8  325.989  -143257  29120
1  9  219.087  -1.86485e+06  29120
1  10  205.382  -3.44594e+06  29120
1  11  103.969  -373521  29120
2  0  202.593  -33528.6  29120
2  1  198.814  -26455.8  29120
2  2  319.988  -922126  29120
2  3  193.671  -3.15846e+07  29120
2  4  1850.62  -4.121e+07  29120
2  5  2558.38  -3.66574e+07  29120
2  6  1754.97  -4.33396e+07  29120
2  7  1470.12  -1.17862e+06  29120
2  8  311.861  -183650  29120
2  9  96.394  -941568  29120
2  10  275.747  -384366  29120
2  11  237.271  -2.04948e+06  29120
3  0  376.998  -292106  29120
3  1  240.656  -4.93608e+06  29120
3  2  346.277  -1.86822e+06  29120
3  3  359.595  -853313  29120
3  4  2556.43  -2.7006e+06  29120
3  5  2566.66  -4.10086e+06  29120
3  6  2547.51  -2.63041e+06  29120
3  7  1214.14  -4.77959e+06  29120
3  8  129.937  -301644  29120
3  9  186.169  -426585  29120
3  10  71.9162  -6.10237e+06  29120
3  11  122.278  -117587  29120
4  0  254.281  -4.37637e+06  29120
4  1  286.17  -5.64383e+06  29120
4  2  146.595  -4.35405e+06  29120
4  3  221.361  -1.32302e+06  29120
4  4  1640.9  -2.88915e+06  29120
4  5  2267.13  -296736  29120
4  6  1425.2  -3.91836e+06  29120
4  7  1364.45  -2.01732e+07  29120
4  8  392.12  -4.2338e+06  29120
4  9  188.497  -2.86951e+06  29120
4  10  263.429  -1.13962e+06  29120
4  11  71.401  -1.01583e+08  29120
5  0  199.136  -1.10639e+07  29120
5  1  108.657  -9.06287e+06  29120
5  2  496.381  -6.47405e+06  29120
5  3  296.373  -6.49562e+06  29120
5  4  2243.95  -4.6922e+09  29120
5  5  4723.61  -1.23979e+09  29120
5  6  1676.51  -1.47766e+09  29120
5  7  399.505  -1.66611e+09  29120
5  8  379.652  -9.81726e+08  29120
5  9  230.389  -4.35319e+08  29120
5  10  239.79  -4.93648e+08  29120
5  11  162.44  -2.10007e+06  29120
6  0  202.718  -613362  29120
6  1  -18.1074  -839851  29120
6  2  308.187  -702047  29120
6  3  181.168  -746407  29120
6  4  1899.88  -72919.3  29120
6  5  1444.36  -31262.9  29120
6  6  683.592  -8.45235e+07  29120
6  7  838.032  -1.00232e+08  29120
6  8  586.352  -2.14662e+07  29120
6  9  226.325  -2.75388e+07  29120
6  10  199.309  -5.05676e+06  29120
6  11  176.429  -4.69111e+06  29120
7  0  184.254  -979777  29120
7  1  615.164  -425224  29120
7  2  245.363  -141047  29120
7  3  195.36  -306050  29120
7  4  1247.1  -1.48634e+06  29120
7  5  2026.76  -1.01226e+06  29120
7  6  956.086  -5.03576e+06  29120
7  7  428.593  -7.67811e+06  29120
7  8  253.757  -4.38809e+06  29120
7  9  331.729  -4.41439e+06  29120
7  10  226.196  -813290  29120
7  11  176.855  -3.18697e+06  29120
8  0  128.171  -2.05026e+06  29120
8  1  256.43  -1.39387e+06  29120
8  2  386.003  -1.319e+06  29120
8  3  88.8159  -287799  29120
8  4  1293.67  -17461.2  29120
8  5  3632.7  -415.631  29120
8  6  591.71  -1.41087e+07  29120
8  7  662.332  -1.4438e+07  29120
8  8  277.008  -2.84285e+07  29120
8  9  188.643  -3.01048e+07  29120
8  10  184.136  -3.27924e+07  29120
8  11  147.296  -3.5788e+07  29120
9  0  143.715  -657292  29120
9  1  310.827  -361308  29120
9  2  452.159  -1.20887e+07  29120
9  3  413.009  -98087.2  29120
9  4  1933.6  -108231  29120
9  5  2026.32  -48246.1  29120
9  6  1495.01  -1.75373e+07  29120
9  7  1119.78  -1.62227e+07  29120
9  8  124.992  -1.05615e+09  29120
9  9  201.982  -1.29781e+08  29120
9  10  141.174  -1.33799e+08  29120
9  11  242.402  -1.74835e+06  29120
10  0  62.0958  -10622.2  29120
10  1  122.104  -394432  29120
10  2  226.538  -278992  29120
10  3  418.052  -247642  29120
10  4  1687.92  -2608.98  29120
10  5  2536.14  -147340  29120
10  6  1046.11  -2.44215e+06  29120
10  7  903.577  -3.94322e+06  29120
10  8  251.528  -7.82939e+06  29120
10  9  222.98  -3.4987e+06  29120
10  10  60.1996  -402706  29120
10  11  229.865  -1.33902e+08  29120
11  0  181.559  -2.0407e+07  29120
11  1  -17.3581  -75048.9  29120
11  2  186.02  -53127.9  29120
11  3  106.718  -5.94021e+06  29120
11  4  2314.34  -1.12524e+06  29120
11  5  2423.36  -551.373  29120
11  6  535.983  -7.95696e+07  29120
11  7  542.596  -8.07449e+07  29120
11  8  301.112  -6.69473e+06  29120
11  9  183.573  -1.20179e+07  29120
11  10  151.98  -1.92673e+07  29120
11  11  136.255  -2.17173e+06  29120
