Run Number: 207 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
    0     4789.97      125.50       20.35        0.37        9.49        0.28     3541.00      0.0000        Good
    1     5826.70      131.73       24.98        0.50       12.79        0.44     5164.00      0.0000        Good
    2     8940.84      154.90       24.38        0.32        9.99        0.21     6282.00      0.0000        Good
    3     8430.16      208.54       25.45        0.35        8.62        0.40     5424.00      0.0000        Good
    4     6260.69      161.06       19.42        0.34        9.13        0.28     4566.00      0.0000        Good
    5     5865.63      122.20       25.32        0.37        9.94        0.23     4126.00      0.0000        Good
    6     8987.64      163.73       30.68        0.33       11.06        0.29     6845.00      0.0000        Good
    7     6557.06      121.45       29.15        0.51       12.50        0.34     5086.00      0.0000        Good
    8    10029.05      155.09       29.44        0.78       17.08        0.75     8797.00      0.0000        Good
    9     8308.64      142.23       26.74        0.51       14.83        0.48     7783.00      0.0000        Good
   10    11704.10      236.95       35.14        0.34        9.68        0.44     8273.00      0.0000        Good
   11     8247.99      141.83       26.08        0.45       13.35        0.38     7273.00      0.0000        Good
   12     6431.78      145.27       21.75        0.43       11.13        0.38     4898.00      0.0000        Good
   13    11743.96      188.23       30.90        0.29       10.83        0.25     8823.00      0.0000        Good
   14     9878.75      154.59       28.14        0.38       12.52        0.26     9106.00      0.0000        Good
   15    10217.40      172.13       32.21        0.31       10.77        0.25     8411.00      0.0000        Good
   16     9865.00      144.90       31.52        0.43       12.49        0.26     7451.00      0.0000        Good
   17     8855.20      141.83       29.74        0.39       12.09        0.26     6779.00      0.0000        Good
   18     4467.51      118.58       31.58        0.99       22.41        1.47     6036.00      0.0000        Good
   19   825485.24   405462.48      -22.25        0.96        1.29        0.31     4542.00        -nan        Good
   20        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   21    11855.56     2969.82      -11.96       19.03       20.12        2.15     7567.00        -nan        Good
   22     8591.19      135.87       32.18        0.46       16.09        0.36     9647.00      0.0000        Good
   23     5256.35       91.80       22.15        1.47       23.67        0.82     8275.00      0.0000        Good
