#Integrated pulse data for run 989.
#Total number of integrated events is 949927.
#Row  Column  pmtIntValue  EvTotal
0  0  -1.71755e+07  15202
0  1  798.7  17120
0  2  514.609  17689
0  3  898.235  19339
0  4  1017  3485
0  5  1188.13  11967
0  6  940.335  7680
0  7  1159.79  10424
0  8  1495.63  20476
0  9  972.227  17983
0  10  2162.38  14378
0  11  946.039  12487
1  0  3687.58  16333
1  1  1877.14  17158
1  2  744.07  15967
1  3  1070.39  17368
1  4  1926.95  15094
1  5  850.984  5485
1  6  2200.08  14851
1  7  1234.55  10731
1  8  13038.2  15169
1  9  4295.36  12868
1  10  1861.27  10716
1  11  635.159  7802
2  0  491.763  10205
2  1  1074.3  13568
2  2  30570.2  14244
2  3  668.979  13160
2  4  1206.45  10123
2  5  1958.02  12993
2  6  1177.34  9883
2  7  1255.11  9598
2  8  992.079  11627
2  9  482.137  5876
2  10  1345.8  9073
2  11  1889.99  7699
3  0  1269.35  10417
3  1  8741.81  9904
3  2  1299.69  11588
3  3  949.478  11021
3  4  1425.18  9587
3  5  1434.03  8077
3  6  1804.81  9984
3  7  1410.5  8205
3  8  600.162  7513
3  9  611.394  7635
3  10  2001.22  6339
3  11  1069.07  6040
4  0  702.391  8062
4  1  4179.87  8743
4  2  694.046  8814
4  3  834.038  9023
4  4  921.735  5235
4  5  1857.39  8605
4  6  1115.24  4793
4  7  6759.88  4177
4  8  760.517  7872
4  9  645.67  5838
4  10  1275.7  5682
4  11  346.858  2260
5  0  681.822  6900
5  1  414.186  5986
5  2  266.053  8065
5  3  649.604  7141
5  4  2122.37  6359
5  5  2420.5  7575
5  6  2138.14  6774
5  7  882.013  4242
5  8  92978.7  6419
5  9  91976  5278
5  10  1558.68  4856
5  11  509.235  3526
6  0  1229.93  6035
6  1  186.25  706
6  2  -3946.69  6683
6  3  1048.83  6227
6  4  2167.97  5883
6  5  1253.43  4823
6  6  1695.17  5117
6  7  1842.92  4683
6  8  2753.63  5542
6  9  973.927  4243
6  10  1376.4  4146
6  11  782.28  3382
7  0  1024.24  4913
7  1  33107.1  5607
7  2  1010.3  5215
7  3  751.628  5126
7  4  1024.72  3522
7  5  1579.62  4390
7  6  1370.11  3893
7  7  930.864  1863
7  8  975.664  4083
7  9  24665.9  3754
7  10  741.636  3198
7  11  814.725  2829
8  0  382.895  3171
8  1  983.67  4172
8  2  5762.9  5057
8  3  727.595  4139
8  4  596.144  2864
8  5  -188.651  4094
8  6  1136.73  2867
8  7  918.73  2149
8  8  1341.34  3509
8  9  651.174  2753
8  10  11796.5  2761
8  11  792.143  2457
9  0  469.531  2734
9  1  145037  3779
9  2  49826.9  4106
9  3  2293.74  3862
9  4  1653.96  2826
9  5  3779.15  3369
9  6  2615.24  2882
9  7  1506.04  2611
9  8  1284.05  2828
9  9  1686.18  2727
9  10  1545.55  2392
9  11  3067.49  2422
10  0  281.721  1591
10  1  1749.5  3077
10  2  1814.12  3288
10  3  1786.37  3196
10  4  996.276  2452
10  5  3605.47  2874
10  6  1321.11  1959
10  7  1137.87  1627
10  8  2184.12  2559
10  9  1981.94  2407
10  10  1132.26  2028
10  11  5122.76  2045
11  0  936.72  2447
11  1  137.782  2126
11  2  892.735  2448
11  3  870.049  2420
11  4  1671.48  2064
11  5  1578.86  2295
11  6  1304.33  1832
11  7  1421.59  761
11  8  1469.06  2056
11  9  1570.43  1941
11  10  10793.1  2144
11  11  712.771  1540
