Module	 HV
1	-1465.5
2	-1478.19
3	-1459.71
4	-1418.71
5	-2136.87
6	-1634.89
7	-1648.41
8	-1697.51
9	-1435.03
10	-1408.18
11	-1387.35
12	-1443.8
13	-1406.22
14	-1213.49
15	-1226.35
16	-1199.68
17	-948.243
18	-788.916
19	-983.296
20	-1076.28
21	-1176.52
22	-1227.02
23	-1316.81
24	-1578.94
25	-1400.82
26	-1334.36
27	-1229.18
28	-1191.92
29	-996.628
30	-884.298
31	-992.614
32	-1040.38
33	-1215.3
34	-1167.6
35	-1289.04
36	-1401.26
37	-1431.46
38	-1236.92
39	-1167.44
40	-1241.23
41	-781.705
42	-769.544
43	-742.643
44	-882.621
45	-1175.09
46	-1168.4
47	-1216.92
48	-1425.39
49	-1429.55
50	-1220.83
51	-1279.52
52	-1183.91
53	-744.292
54	-839.246
55	-784.105
56	-860.948
57	-1197.45
58	-1208.55
59	-1170.39
60	-1480.72
61	-1428.11
62	-1207.3
63	-1215.07
64	-1183.75
65	-922.81
66	-836.63
67	-739.078
68	-873.152
69	-1159.28
70	-1197.2
71	-1221.57
72	-1407.18
73	-1711.66
74	-1349.34
75	-1310.31
76	-1262.5
77	-912.548
78	-1122.7
79	-810.003
80	-793.202
81	-1167.48
82	-1186.23
83	-1194.33
84	-1564
85	-1387.34
86	-1193.6
87	-1207.18
88	-1160.56
89	-792.903
90	-786.271
91	-668.265
92	-749.796
93	-1175.78
94	-1221.35
95	-1215.07
96	-1558.12
97	-1438.93
98	-1199.87
99	-1246.19
100	-1186.59
101	-745.204
102	-732.65
103	-917.551
104	-798.5
105	-1156.8
106	-1172.52
107	-1203.05
108	-1414.18
109	-1553
110	-1216.69
111	-1181.5
112	-1186.74
113	-759.12
114	-718.256
115	-701.323
116	-752.878
117	-1148.42
118	-1236.69
119	-1198.15
120	-1413.47
121	-1399.14
122	-1213.99
123	-1200.46
124	-1216.37
125	-693.167
126	-770.619
127	-717.238
128	-620.085
129	-1166.2
130	-1160.11
131	-1222.81
132	-1497.47
133	-1447.22
134	-1186.65
135	-1198.23
136	-1260.1
137	-852.878
138	-866.259
139	-676.982
140	-649.103
141	-1163.51
142	-1202.71
143	-1214.48
144	-1425.2
145	-1578.26
146	-1320.6
147	-1267.05
148	-1274.89
149	-1186.7
150	-930.728
151	-1022.28
152	-956.882
153	-1193.9
154	-1210.04
155	-1252.34
156	-1432.46
157	-1440.23
158	-1218.65
159	-1269.56
160	-1195.84
161	-795.928
162	-946.685
163	-739.335
164	-842.624
165	-1215.6
166	-1210.5
167	-1247.59
168	-1461.18
169	-1512.64
170	-1214.8
171	-1204.53
172	-1236.86
173	-851.362
174	-774.655
175	-737.436
176	-831.044
177	-1217.53
178	-1350.62
179	-1207.18
180	-1403.28
181	-1403.3
182	-1197.03
183	-1190.81
184	-1208.64
185	-751.872
186	-829.504
187	-818.107
188	-778.483
189	-1238.14
190	-1222.85
191	-1240.06
192	-1393.59
193	-1446.82
194	-1217.2
195	-1209.08
196	-1236.04
197	-890.423
198	-716.524
199	-763.699
200	-886.35
201	-1192.23
202	-1216.66
203	-1213.85
204	-1570.15
205	-1448.32
206	-1141.36
207	-1185.49
208	-1268.73
209	-823.596
210	-711.824
211	-725.343
212	-879.697
213	-1160.86
214	-1203.91
215	-1186.39
216	-1460.81
217	-1399.78
218	-1359.43
219	-1178.82
220	-1219.37
221	-750.871
222	-817.872
223	-714.826
224	-778.965
225	-1131.94
226	-1195.64
227	-1217.26
228	-1436.98
229	-1414.04
230	-1192.76
231	-1197.38
232	-1215.86
233	-853.573
234	-801.382
235	-850.59
236	-962.994
237	-1182.88
238	-1194.85
239	-1219.45
240	-1430.38
241	-1500.5
242	-1271.68
243	-1607.01
244	-1268.7
245	-891.36
246	-678.375
247	-820.006
248	-888.14
249	-1175.78
250	-1214.8
251	-1223.22
252	-1428.56
253	-1499.25
254	-1254.87
255	-1165.19
256	-1168.06
257	-783.23
258	-710.659
259	-737.003
260	-775.23
261	-1180.43
262	-1176.63
263	-1177.99
264	-1355.27
265	-1527.89
266	-1219.82
267	-1181.15
268	-1153.16
269	-760.887
270	-694.424
271	-901.494
272	-1037.54
273	-1166.77
274	-1171.3
275	-1219.9
276	-1366.06
277	-1431.24
278	-1485.11
279	-1435.2
280	-1437.96
281	-1555.21
282	-1416.65
283	-1674.74
284	-2081.68
285	-1410.74
286	-1410.7
287	-1413.1
288	-1443.92
