Module	 HV
1	-1313.5
2	-1281.88
3	-1232.25
4	-1186.03
5	-959.476
6	-884.561
7	-903.355
8	-872.522
9	-1220.04
10	-1185.63
11	-1076.84
12	-1192.92
13	-1264.8
14	-1213.96
15	-1213.4
16	-1183.27
17	-885.843
18	-794.775
19	-946.008
20	-1114.29
21	-1161.81
22	-1236.34
23	-1311.89
24	-nan
25	-1258.71
26	-1330.85
27	-1227.53
28	-1184.19
29	-970.748
30	-868.054
31	-975.934
32	-1010.68
33	-1216.41
34	-1163.77
35	-1284.76
36	-1227.83
37	-1276.71
38	-1234.1
39	-1166.44
40	-1234.91
41	-764.904
42	-774.889
43	-777.161
44	-873.306
45	-1175.97
46	-1199.43
47	-1205.84
48	-1236.99
49	-1281.91
50	-1244.26
51	-1266.12
52	-1211.97
53	-768.627
54	-837.985
55	-808.979
56	-851.437
57	-1203.99
58	-1214.55
59	-1206.42
60	-1288.12
61	-1283.26
62	-1218.69
63	-1229.46
64	-1179.36
65	-900.941
66	-818.311
67	-773.434
68	-859.749
69	-1171.82
70	-1201.77
71	-1242.02
72	-1220.58
73	-1397.7
74	-1320.45
75	-1283.27
76	-1254.73
77	-955.525
78	-1151.1
79	-808.336
80	-807.444
81	-1178.17
82	-1192.09
83	-1192.21
84	-1359.95
85	-1239.77
86	-1228.73
87	-1227.34
88	-1170.82
89	-816.529
90	-775.275
91	-671.278
92	-733.335
93	-1178.03
94	-1205.76
95	-1219
96	-1367.59
97	-1278.72
98	-1199.41
99	-1255.69
100	-1193.22
101	-757.695
102	-718.872
103	-934.005
104	-791.775
105	-1158.83
106	-1165.31
107	-1199.24
108	-1232.87
109	-1343.34
110	-1245.22
111	-1197.82
112	-1186.76
113	-772.319
114	-727.856
115	-726.738
116	-753.301
117	-1144.73
118	-1241.29
119	-1203.46
120	-1204.26
121	-1252.13
122	-1258.26
123	-1221.21
124	-1217.31
125	-717.118
126	-777.287
127	-715.699
128	-607.968
129	-1168.98
130	-1154.85
131	-1264.02
132	-1302.38
133	-1298.06
134	-1194.2
135	-1218.29
136	-1255.47
137	-883.973
138	-863.224
139	-724.968
140	-666.302
141	-1184.79
142	-1194.94
143	-1206.51
144	-1240.03
145	-1346.35
146	-1320.86
147	-1290.05
148	-1273.99
149	-1212.5
150	-1011.74
151	-1032.7
152	-950.688
153	-1185.6
154	-1226.14
155	-1248.45
156	-1257.89
157	-1319.16
158	-1250.94
159	-1283.28
160	-1206.24
161	-797.212
162	-962.062
163	-780.156
164	-852.055
165	-1213.82
166	-1212.36
167	-1246.48
168	-1275.9
169	-1350.95
170	-1241.52
171	-1231.12
172	-1240.84
173	-896.964
174	-787.556
175	-747.985
176	-853.233
177	-1208.43
178	-1339.45
179	-1210.59
180	-1234.82
181	-1265.39
182	-1261.6
183	-1205.11
184	-1231.01
185	-832.571
186	-831.496
187	-809.039
188	-789.61
189	-1250.38
190	-1239.73
191	-1244.64
192	-1223.5
193	-1283.97
194	-1247.23
195	-1243.33
196	-1238.14
197	-961.251
198	-744.804
199	-769.785
200	-915.526
201	-1196.89
202	-1234.4
203	-1207.61
204	-1335.91
205	-1305.02
206	-1237.64
207	-1211.84
208	-1285.99
209	-804.384
210	-773.567
211	-751.256
212	-908.481
213	-1173.64
214	-1214.78
215	-1202.49
216	-1264.4
217	-1272.16
218	-1361.78
219	-1183.06
220	-1235.1
221	-795.255
222	-829.219
223	-738.984
224	-811.919
225	-1139.51
226	-1220.29
227	-1238.08
228	-1265.76
229	-1288.57
230	-1197.92
231	-1229.86
232	-1217.5
233	-900.741
234	-849.06
235	-843.641
236	-956.986
237	-1211.75
238	-1218.96
239	-1233.71
240	-1248.37
241	-1356.42
242	-1257.27
243	-1595.72
244	-1289.74
245	-841.304
246	-710.589
247	-853.392
248	-897.862
249	-1187.15
250	-1229.41
251	-1244.03
252	-1244.64
253	-1342.35
254	-1245.95
255	-1179.49
256	-1161.31
257	-829.035
258	-733.987
259	-747.072
260	-835.055
261	-1199.56
262	-1194.93
263	-1198.06
264	-1193.12
265	-1362.12
266	-1214.42
267	-1200.67
268	-1178.8
269	-788.13
270	-719.64
271	-835.883
272	-1010.21
273	-1165.98
274	-1179.3
275	-1236.27
276	-1193.27
277	-1276.56
278	-1301.12
279	-1230.32
280	-1233.31
281	-853.454
282	-755.347
283	-767.178
284	-1051.63
285	-1209.12
286	-1223.28
287	-1251.45
288	-1259.76
