Module	 HV
1	-1305.15
2	-1274.16
3	-1229.56
4	-1184.61
5	-968.509
6	-882.549
7	-907.298
8	-869.46
9	-1216.02
10	-1183.54
11	-1191.02
12	-1255.18
13	-1255.94
14	-1223.29
15	-1211.53
16	-1179.56
17	-889.922
18	-788.314
19	-938.586
20	-1110.07
21	-1161.98
22	-1218.65
23	-1305.13
24	-1339.49
25	-1264.37
26	-1341.67
27	-1234.99
28	-1185.68
29	-987.524
30	-873.184
31	-958.435
32	-980.023
33	-1211.91
34	-1169.87
35	-1284.92
36	-1216.24
37	-1283.42
38	-1233.86
39	-1156.53
40	-1233.2
41	-752.784
42	-770.562
43	-783.042
44	-877.152
45	-1174.06
46	-1196.61
47	-1212.22
48	-1238.9
49	-1291.94
50	-1250.54
51	-1273.02
52	-1208.32
53	-770.085
54	-822.567
55	-814.679
56	-848.498
57	-1205.36
58	-1211.5
59	-1206.55
60	-1292.05
61	-1291.54
62	-1223.22
63	-1231.91
64	-1174.11
65	-891.718
66	-812.346
67	-769.013
68	-860
69	-1168.4
70	-1202.39
71	-1242.54
72	-1216.88
73	-1364.64
74	-1323.84
75	-1279.78
76	-1262.32
77	-971.321
78	-1141.67
79	-811.666
80	-800.519
81	-1175.18
82	-1183.85
83	-1196.95
84	-1349.92
85	-1233.15
86	-1214.5
87	-1220.92
88	-1171.74
89	-817.366
90	-781.686
91	-667.411
92	-738.939
93	-1175.25
94	-1201.82
95	-1220.34
96	-1368.44
97	-1281.56
98	-1200.28
99	-1250.78
100	-1189.92
101	-760.276
102	-726.253
103	-914.057
104	-792.245
105	-1159.27
106	-1162.01
107	-1203.5
108	-1220.36
109	-1345.99
110	-1238.4
111	-1199.18
112	-1183.15
113	-764.869
114	-725.005
115	-722.741
116	-750.528
117	-1144.76
118	-1236.69
119	-1201.13
120	-1208.61
121	-1240.86
122	-1251.81
123	-1217.2
124	-1220.68
125	-720.505
126	-784.727
127	-705.318
128	-605.579
129	-1163.75
130	-1154.41
131	-1248.88
132	-1298.78
133	-1303.45
134	-1208.14
135	-1221.62
136	-1268.17
137	-880.034
138	-858.507
139	-735.037
140	-669.982
141	-1189.57
142	-1190.28
143	-1205.8
144	-1242.95
145	-1353.34
146	-1322.19
147	-1294.6
148	-1274.24
149	-1128.59
150	-969.831
151	-1026.36
152	-959.974
153	-1185.37
154	-1229.73
155	-1247.45
156	-1251.81
157	-1315.49
158	-1250.21
159	-1276.21
160	-1208.23
161	-827.499
162	-956.879
163	-773.04
164	-847.239
165	-1198.54
166	-1217.49
167	-1242.87
168	-1277.62
169	-1341.76
170	-1246.75
171	-1237.34
172	-1249.54
173	-911.134
174	-784.652
175	-752.151
176	-865.709
177	-1202.35
178	-1355.94
179	-1216.17
180	-1233.74
181	-1267.35
182	-1255.35
183	-1214.34
184	-1228.14
185	-806.604
186	-861.725
187	-815.561
188	-783.547
189	-1247.55
190	-1240.18
191	-1242.82
192	-1224.06
193	-1278.87
194	-1249.34
195	-1250.66
196	-1250.06
197	-995.668
198	-760.462
199	-824.689
200	-963.537
201	-1196.52
202	-1236.67
203	-1202.24
204	-1340.41
205	-1297.12
206	-1226.95
207	-1211.09
208	-1284.14
209	-816.66
210	-779.077
211	-761.276
212	-939.105
213	-1169.64
214	-1220.86
215	-1197.41
216	-1269.54
217	-1232.8
218	-1382.06
219	-1207.69
220	-1244.92
221	-788.105
222	-862.891
223	-760.442
224	-834.568
225	-1154.2
226	-1226.79
227	-1233.38
228	-1271.17
229	-1260.51
230	-1197.73
231	-1245.67
232	-1231.54
233	-923.997
234	-847.437
235	-871.644
236	-1043.69
237	-1214.09
238	-1213.99
239	-1239.99
240	-1256.18
241	-1354.68
242	-1265.69
243	-1606.9
244	-1290.07
245	-939.552
246	-741.223
247	-871.557
248	-958.938
249	-1192.51
250	-1233.7
251	-1251.32
252	-1251.5
253	-1335.64
254	-1249.67
255	-1184.17
256	-1181.84
257	-843.141
258	-755.872
259	-761.194
260	-859.535
261	-1209.23
262	-1208.4
263	-1205.32
264	-1196.72
265	-1364.38
266	-1222.29
267	-1203.36
268	-1193.49
269	-807.974
270	-741.1
271	-905.775
272	-1076.69
273	-1177.43
274	-1191.49
275	-1239.22
276	-1202.27
277	-1287.74
278	-1318.72
279	-1242.44
280	-1250.04
281	-894.527
282	-778.594
283	-804.122
284	-1103.45
285	-1223.05
286	-1229.02
287	-1243.27
288	-1269.07
