module, HV, pedestal, npe_led0, npe_led1, npe_led2, npe_led3, npe_led4, npe_led5
0,1400,6620.35,0.134306,0.134889,0.129118,0.153829,0.136075,0.126474
1,1400,6433.2,0.007638,0.00373694,0.0102779,0.00871454,0.0117321,0.00587246
2,1400,6455.82,0.00559065,0.00232496,7.02444e-05,0.00193981,0.00104559,0.00611887
3,1400,6234.51,0.0921937,0.167184,0.174956,0.120853,0.133591,0.137331
4,1500,6562.06,0.00100033,0.0246523,0.0468527,0.0271998,0.0976765,0.00827856
5,1500,6513.62,0.00839464,0.00884945,0.0201303,0.00382368,0.00197083,0.000503802
6,1500,6485.4,0.00765277,0.00114791,0.00156125,0.00089126,0.00329758,1.59804e-05
7,1500,5595.82,0.0131577,0.000271147,0.000118446,9.34577e-09,0.000812764,0.000719303
8,1400,5641.88,0.0018469,0.019758,0.0164066,0.00264282,0.0155814,0.0103077
9,1400,6247.07,0.0915367,0.121573,0.103154,0.121387,0.161112,0.15472
10,1400,6515.24,0.00070529,0.00134171,0.0023259,0.000795621,0.0104051,3.17416e-05
11,1400,5913.92,0.0259976,0.0518572,0.0381418,0.0437666,0.0521506,0.0269376
12,1400,7077.07,0.0139218,0.00263188,0.00502178,0.0113135,0.00696114,0.0129037
13,1400,6606.88,0.000112411,0.0732992,0.0544429,0.0443539,0.0176622,0.011105
14,1400,6668.58,0.0507298,0.0208988,0.0332015,0.0461454,0.0441606,0.0497276
15,1400,6650.72,0.0185968,0.00393221,0.0105644,0.0116153,0.0069866,0.0152119
16,1500,6190.1,0.00211688,0.0674428,0.0139488,0.0317831,0.0758998,0.0348098
17,1500,6178.46,0.0935802,0.00294443,0.0022501,0.00125264,0.000630545,0.00870003
18,1500,6471.29,0.00885295,0.0427166,0.022057,0.031543,0.0377962,0.0472954
19,1500,5909.19,0.074014,0.0579365,0.0629908,0.051294,0.0671565,0.0475258
20,1400,6846.17,0.0731939,0.0689933,0.0575875,0.0546751,0.0588736,0.0602483
21,1400,6072.14,0.00290472,0.00183946,0.00497853,0.00675292,0.00759188,0.00915386
22,1400,6525.58,0.0648967,0.0507005,0.0675353,0.0382824,0.0433527,0.0539848
23,1400,6689.15,0.00920678,0.0176535,0.0379151,0.0391473,0.0282821,0.0256062
24,1400,5520.18,0.0260057,0.0317302,0.0377933,0.0531533,0.0414232,0.0236531
25,1400,6228.51,9.51256e-05,0.0050602,0.000863986,9.48842e-05,0.00240847,0.00387339
26,1400,6044.34,0.000131399,0.00140997,0.00197632,0.0014029,0.00243948,0.0029396
27,1400,6571.91,0.064735,0.0751512,0.0689287,0.0456673,0.0554851,0.0675926
28,1500,6818.43,0.000716977,0.0153619,0.0010368,0.000374437,0.00262177,0.0107494
29,1500,6204.35,0.01587,0.0382697,0.0227016,0.032204,0.0240031,0.0210777
30,1500,6974.92,4.05623e-06,0.00685228,0.00549651,0.00283856,0.0011359,0.000965087
31,1500,6334.96,0.0171476,0.0121656,0.0105703,0.0310626,0.0223781,0.023853
32,1400,6830.09,0.00250221,0.00109125,0.00478617,0.00362788,0.00334657,0.00625978
33,1400,5932.31,0.0304972,0.0373069,0.0358819,0.037196,0.0307423,0.0207682
34,1400,6099.14,0.00724229,0.000407277,0.00473295,0.00246571,0.00297582,0.00863636
35,1400,5700.36,3.97172e-05,0.00158747,0.0241241,0.0332211,0.00660099,0.00883116
36,1400,4929.07,0.0149057,0.0290358,0.0234193,0.028653,0.0173463,0.0223619
37,1400,6768.19,7.71836e-06,0.000149403,0.00202849,0.000269358,0.000571914,3.65391e-05
38,1400,6162.51,0.00087753,0.00970678,0.0082171,0.0014119,0.000912239,0.00864307
39,1400,5647.11,4.12565e-06,0.000558905,0.000181395,2.8575e-06,3.69254e-05,2.59768e-05
40,1500,6523.74,0.00397888,0.0316073,0.0122335,0.0136049,0.0201611,0.0130561
41,1500,5688.09,0.00194274,0.00531307,0.00172902,0.0015518,0.0125783,0.00108239
42,1500,6863.86,0.0177571,0.0193173,0.0184616,0.0196572,0.0290589,0.0301123
43,1500,5928.79,0.0251129,0.0366572,0.0197885,0.014202,0.0466793,0.0404985
44,1400,7131.02,0.0066302,0.0217427,0.0165711,0.0141991,0.0114934,0.00866103
45,1400,6600.84,0.00178754,4.08435e-05,8.3136e-06,0.000387748,0.000808311,2.06901e-05
46,1400,6527.31,0.0128657,0.0215629,0.00392939,0.00787459,0.0153969,0.0146672
47,1400,5914.69,0.000351058,0.00355259,0.00138066,0.000175556,0.00157427,0.00165361
48,1400,6389.92,0.00333293,0.00388332,0.00339839,0.0045879,0.00247115,0.0028983
49,1400,5676.67,0.00316895,0.0037901,0.00200616,0.000150905,5.7197e-07,1.35761e-07
