Module	 HV
1	-1479
2	-1456
3	-1463
4	-1429
5	-1987
6	-1681
7	-1629
8	-1672
9	-1434
10	-1410
11	-1380
12	-1451
13	-1433
14	-1419
15	-1422
16	-1397
17	-1813
18	-1583
19	-1700
20	-1900
21	-1505
22	-1457
23	-1512
24	-1558
25	-1423
26	-1548
27	-1453
28	-1398
29	-1906
30	-1703
31	-2097
32	-1835
33	-1424
34	-1413
35	-1546
36	-1409
37	-1438
38	-1411
39	-1381
40	-1444
41	-1557
42	-1561
43	-1552
44	-1659
45	-1393
46	-1404
47	-1420
48	-1416
49	-1436
50	-1436
51	-1501
52	-1431
53	-1460
54	-1585
55	-1664
56	-1697
57	-1420
58	-1421
59	-1408
60	-1486
61	-1439
62	-1401
63	-1439
64	-1417
65	-1766
66	-1549
67	-1540
68	-1728
69	-1392
70	-1418
71	-1452
72	-1411
73	-1614
74	-1511
75	-1480
76	-1511
77 	-1917
78 	-2300
79 	-1627
80 	-1808
81 	-1384
82 	-1394
83 	-1403
84 	-1457
85 	-1396
86 	-1400
87 	-1424
88 	-1381
89 	-1553
90 	-1513
91 	-1433
92	-1596
93 	-1397
94 	-1419
95 	-1432
96 	-1500
97 	-1447
98 	-1385
99 	-1459
100 	-1394
101 	-1680
102 	-1573
103 	-1894
104 	-1760
105	-1381
106 	-1378
107 	-1424
108 	-1424
109 	-1547
110 	-1438
111 	-1403
112 	-1388
113 	-1454
114 	-1474
115 	-1525
116 	-1606
117 	-1355
118 	-1438
119 	-1407
120 	-1420
121 	-1407
122 	-1431
123 	-1428
124 	-1439
125 	-1361
126	-1534
127	-1505
128	-1417
129	-1378
130	-1354
131	-1486
132 	-1497
133 	-1455
134 	-1374
135 	-1425
136 	-1478
137 	-1668
138 	-1679
139 	-1605
140 	-1619
141	-1412
142 	-1416
143 	-1418
144 	-1415
145 	-1524
146 	-1504
147 	-1500
148 	-1484
149 	-2288
150 	-1943
151 	-1899
152 	-1784
153 	-1393
154 	-1435
155 	-1457
156 	-1450
157 	-1408
158 	-1404
159 	-1447
160 	-1405
161 	-1537
162 	-1926
163 	-1463
164 	-1658
165 	-1416
166 	-1418
167 	-1438
168 	-1475
169 	-1506
170 	-1409
171 	-1414
172 	-1450
173 	-1654
174	-1436
175 	-1621
176 	-1653
177	-1416
178 	-1612
179 	-1400
180 	-1391
181 	-1411
182 	-1442
183 	-1384
184 	-1427
185 	-1591
186 	-1641
187 	-1473
188 	-1555
189 	-1467
190 	-1452
191 	-1438
192 	-1405
193 	-1446
194 	-1416
195 	-1437
196 	-1430
197 	-1833
198 	-1715
199 	-1800
200 	-1934
201 	-1387
202 	-1448
203	-1392
204 	-1640
205 	-1457
206 	-1449
207 	-1389
208 	-1464
209 	-1536
210	-1500
211 	-1412
212 	-1764
213 	-1364
214 	-1415
215 	-1382
216 	-1469
217 	-1411
218 	-1514
219 	-1375
220 	-1424
221 	-1428
222 	-1700
223 	-1475
224 	-1487
225 	-1341
226 	-1410
227 	-1397
228 	-1550
229 	-1421
230 	-1354
231 	-1422
232 	-1434
233 	-1739
234 	-1564
235 	-1596
236 	-1974
237 	-1418
238 	-1394
239 	-1418
240 	-1440
241 	-1509
242	-1430
243 	-1465
244 	-1471
245 	-1767
246 	-1394
247 	-1724
248 	-1813
249	-1394
250 	-1464
251 	-1420
252 	-1500
253 	-1502
254 	-1411
255 	-1357
256 	-1359
257 	-1570
258	-1320
259 	-1391
260 	-1579
261 	-1404
262 	-1385
263 	-1389
264 	-1354
265 	-1540
266 	-1377
267 	-1373
268 	-1379
269 	-1558
270 	-1320
271 	-1723
272 	-1824
273 	-1367
274 	-1377
275 	-1414
276 	-1370
277 	-1438
278 	-1492
279 	-1436
280 	-1440
281 	-1586
282 	-1458
283 	-1687
284 	-2040
285 	-1425
286 	-1411
287 	-1417
288 	-1458
